r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
2.5,0.5,1519,0.542,1.2958,1968.26,15m,train,0.575,2354
2.5,0.75,1519,0.534,1.244,1889.62,15m,train,0.575,2354
2.5,1.0,1519,0.523,1.1967,1817.75,15m,train,0.575,2354
2.5,1.5,1519,0.513,1.1546,1753.91,15m,train,0.575,2354
2.5,2.0,1519,0.512,1.1315,1718.75,15m,train,0.575,2354
3.0,0.25,1519,0.549,1.6056,2438.93,15m,train,0.575,2354
3.0,0.5,1519,0.521,1.3901,2111.53,15m,train,0.575,2354
3.0,0.75,1519,0.511,1.3148,1997.2,15m,train,0.575,2354
3.0,1.0,1519,0.499,1.2547,1905.96,15m,train,0.575,2354
3.0,1.5,1519,0.487,1.1975,1819.01,15m,train,0.575,2354
3.0,2.0,1519,0.485,1.1657,1770.76,15m,train,0.575,2354
3.5,0.25,1519,0.538,1.7878,2715.68,15m,train,0.575,2354
3.5,0.5,1519,0.508,1.5639,2375.57,15m,train,0.575,2354
3.5,0.75,1519,0.496,1.467,2228.41,15m,train,0.575,2354
3.5,1.0,1519,0.483,1.3944,2118.16,15m,train,0.575,2354
3.5,1.5,1519,0.47,1.3254,2013.23,15m,train,0.575,2354
3.5,2.0,1519,0.468,1.2874,1955.55,15m,train,0.575,2354
4.0,0.25,1519,0.532,1.9484,2959.57,15m,train,0.575,2354
4.0,0.5,1519,0.5,1.7089,2595.75,15m,train,0.575,2354
4.0,0.75,1519,0.487,1.5673,2380.68,15m,train,0.575,2354
4.0,1.0,1519,0.471,1.481,2249.66,15m,train,0.575,2354
4.0,1.5,1519,0.456,1.3975,2122.8,15m,train,0.575,2354
4.0,2.0,1519,0.454,1.3517,2053.22,15m,train,0.575,2354
4.5,0.25,1519,0.526,2.0997,3189.45,15m,train,0.575,2354
4.5,0.5,1519,0.494,1.8845,2862.58,15m,train,0.575,2354
4.5,0.75,1519,0.478,1.7228,2616.96,15m,train,0.575,2354
4.5,1.0,1519,0.462,1.631,2477.46,15m,train,0.575,2354
4.5,1.5,1519,0.446,1.538,2336.15,15m,train,0.575,2354
4.5,2.0,1519,0.444,1.4835,2253.39,15m,train,0.575,2354
5.0,0.25,1519,0.516,2.0735,3149.61,15m,train,0.575,2354
5.0,0.5,1519,0.483,1.8359,2788.71,15m,train,0.575,2354
5.0,0.75,1519,0.466,1.6578,2518.26,15m,train,0.575,2354
5.0,1.0,1519,0.448,1.5514,2356.64,15m,train,0.575,2354
5.0,1.5,1519,0.43,1.4281,2169.31,15m,train,0.575,2354
5.0,2.0,1519,0.427,1.3586,2063.71,15m,train,0.575,2354
1.5,0.25,1513,0.617,1.1127,1683.57,15m,train,0.6,2354
1.5,0.5,1513,0.603,1.0614,1605.88,15m,train,0.6,2354
1.5,0.75,1513,0.597,1.0438,1579.32,15m,train,0.6,2354
1.5,1.0,1513,0.593,1.0347,1565.57,15m,train,0.6,2354
1.5,1.5,1513,0.587,1.0251,1550.93,15m,train,0.6,2354
1.5,2.0,1513,0.586,1.0197,1542.82,15m,train,0.6,2354
2.0,0.25,1513,0.595,1.3153,1990.08,15m,train,0.6,2354
2.0,0.5,1513,0.576,1.2154,1838.86,15m,train,0.6,2354
2.0,0.75,1513,0.568,1.178,1782.37,15m,train,0.6,2354
2.0,1.0,1513,0.562,1.1577,1751.66,15m,train,0.6,2354
2.0,1.5,1513,0.553,1.1353,1717.75,15m,train,0.6,2354
2.0,2.0,1513,0.552,1.1226,1698.49,15m,train,0.6,2354
2.5,0.25,1513,0.568,1.4339,2169.53,15m,train,0.6,2354
2.5,0.5,1513,0.543,1.3097,1981.64,15m,train,0.6,2354
2.5,0.75,1513,0.535,1.2622,1909.76,15m,train,0.6,2354
2.5,1.0,1513,0.525,1.2168,1840.98,15m,train,0.6,2354
2.5,1.5,1513,0.516,1.1769,1780.69,15m,train,0.6,2354
2.5,2.0,1513,0.513,1.155,1747.55,15m,train,0.6,2354
3.0,0.25,1513,0.552,1.5614,2362.34,15m,train,0.6,2354
3.0,0.5,1513,0.521,1.3528,2046.75,15m,train,0.6,2354
3.0,0.75,1513,0.511,1.2834,1941.83,15m,train,0.6,2354
3.0,1.0,1513,0.5,1.2264,1855.58,15m,train,0.6,2354
3.0,1.5,1513,0.489,1.1738,1775.99,15m,train,0.6,2354
3.0,2.0,1513,0.485,1.1447,1731.92,15m,train,0.6,2354
3.5,0.25,1513,0.541,1.7464,2642.37,15m,train,0.6,2354
3.5,0.5,1513,0.508,1.517,2295.16,15m,train,0.6,2354
3.5,0.75,1513,0.496,1.4262,2157.88,15m,train,0.6,2354
3.5,1.0,1513,0.485,1.3561,2051.76,15m,train,0.6,2354
3.5,1.5,1513,0.473,1.2896,1951.09,15m,train,0.6,2354
3.5,2.0,1513,0.469,1.2529,1895.63,15m,train,0.6,2354
4.0,0.25,1513,0.533,1.8995,2873.91,15m,train,0.6,2354
4.0,0.5,1513,0.499,1.6713,2528.7,15m,train,0.6,2354
4.0,0.75,1513,0.487,1.5563,2354.69,15m,train,0.6,2354
4.0,1.0,1513,0.474,1.4737,2229.72,15m,train,0.6,2354
4.0,1.5,1513,0.46,1.3938,2108.81,15m,train,0.6,2354
4.0,2.0,1513,0.456,1.3498,2042.32,15m,train,0.6,2354
4.5,0.25,1513,0.529,2.0783,3144.5,15m,train,0.6,2354
4.5,0.5,1513,0.494,1.8761,2838.47,15m,train,0.6,2354
4.5,0.75,1513,0.479,1.7157,2595.88,15m,train,0.6,2354
4.5,1.0,1513,0.464,1.6248,2458.3,15m,train,0.6,2354
4.5,1.5,1513,0.449,1.5337,2320.55,15m,train,0.6,2354
4.5,2.0,1513,0.444,1.481,2240.82,15m,train,0.6,2354
5.0,0.25,1513,0.519,2.0481,3098.7,15m,train,0.6,2354
5.0,0.5,1513,0.483,1.8106,2739.37,15m,train,0.6,2354
5.0,0.75,1513,0.467,1.6296,2465.52,15m,train,0.6,2354
5.0,1.0,1513,0.451,1.5261,2309.02,15m,train,0.6,2354
5.0,1.5,1513,0.434,1.4096,2132.77,15m,train,0.6,2354
5.0,2.0,1513,0.428,1.3459,2036.39,15m,train,0.6,2354
1.5,0.25,1505,0.622,1.1169,1680.99,15m,train,0.625,2354
1.5,0.5,1505,0.609,1.0747,1617.43,15m,train,0.625,2354
1.5,0.75,1505,0.601,1.0599,1595.16,15m,train,0.625,2354
1.5,1.0,1505,0.597,1.0526,1584.11,15m,train,0.625,2354
1.5,1.5,1505,0.593,1.0451,1572.82,15m,train,0.625,2354
