r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
5.0,1.5,1519,0.232,-4.6629,-7082.88,15m,train,0.575,2354
5.0,2.0,1519,0.223,-5.6744,-8619.46,15m,train,0.575,2354
6.0,0.25,1519,0.363,-0.346,-525.56,15m,train,0.575,2354
6.0,0.5,1519,0.287,-1.5981,-2427.46,15m,train,0.575,2354
6.0,0.75,1519,0.246,-2.5705,-3904.6,15m,train,0.575,2354
6.0,1.0,1519,0.23,-3.3594,-5102.92,15m,train,0.575,2354
6.0,1.5,1519,0.209,-4.6158,-7011.37,15m,train,0.575,2354
6.0,2.0,1519,0.203,-5.6553,-8590.44,15m,train,0.575,2354
7.0,0.25,1519,0.356,-0.3163,-480.39,15m,train,0.575,2354
7.0,0.5,1519,0.275,-1.5106,-2294.6,15m,train,0.575,2354
7.0,0.75,1519,0.234,-2.4454,-3714.63,15m,train,0.575,2354
7.0,1.0,1519,0.213,-3.2549,-4944.25,15m,train,0.575,2354
7.0,1.5,1519,0.19,-4.524,-6871.9,15m,train,0.575,2354
7.0,2.0,1519,0.184,-5.5808,-8477.25,15m,train,0.575,2354
8.0,0.25,1519,0.355,-0.248,-376.74,15m,train,0.575,2354
8.0,0.5,1519,0.27,-1.4876,-2259.67,15m,train,0.575,2354
8.0,0.75,1519,0.226,-2.4297,-3690.72,15m,train,0.575,2354
8.0,1.0,1519,0.202,-3.247,-4932.15,15m,train,0.575,2354
8.0,1.5,1519,0.178,-4.5253,-6873.89,15m,train,0.575,2354
8.0,2.0,1519,0.169,-5.5882,-8488.41,15m,train,0.575,2354
10.0,0.25,1519,0.352,-0.2009,-305.11,15m,train,0.575,2354
10.0,0.5,1519,0.263,-1.3151,-1997.58,15m,train,0.575,2354
10.0,0.75,1519,0.217,-2.3014,-3495.86,15m,train,0.575,2354
10.0,1.0,1519,0.193,-3.1008,-4710.19,15m,train,0.575,2354
10.0,1.5,1519,0.163,-4.392,-6671.5,15m,train,0.575,2354
10.0,2.0,1519,0.152,-5.4474,-8274.58,15m,train,0.575,2354
12.0,0.25,1519,0.352,-0.1561,-237.06,15m,train,0.575,2354
12.0,0.5,1519,0.261,-1.2517,-1901.26,15m,train,0.575,2354
12.0,0.75,1519,0.213,-2.2042,-3348.24,15m,train,0.575,2354
12.0,1.0,1519,0.188,-3.0,-4556.97,15m,train,0.575,2354
12.0,1.5,1519,0.155,-4.2861,-6510.6,15m,train,0.575,2354
12.0,2.0,1519,0.143,-5.3211,-8082.81,15m,train,0.575,2354
15.0,0.25,1519,0.352,-0.1467,-222.87,15m,train,0.575,2354
15.0,0.5,1519,0.259,-1.2147,-1845.06,15m,train,0.575,2354
15.0,0.75,1519,0.211,-2.1054,-3198.14,15m,train,0.575,2354
15.0,1.0,1519,0.184,-2.8715,-4361.85,15m,train,0.575,2354
15.0,1.5,1519,0.15,-4.1223,-6261.77,15m,train,0.575,2354
15.0,2.0,1519,0.136,-5.1341,-7798.71,15m,train,0.575,2354
20.0,0.25,1519,0.351,-0.1307,-198.61,15m,train,0.575,2354
20.0,0.5,1519,0.259,-1.1602,-1762.36,15m,train,0.575,2354
20.0,0.75,1519,0.209,-2.0162,-3062.64,15m,train,0.575,2354
20.0,1.0,1519,0.18,-2.7727,-4211.66,15m,train,0.575,2354
20.0,1.5,1519,0.145,-3.9659,-6024.13,15m,train,0.575,2354
20.0,2.0,1519,0.13,-4.9294,-7487.77,15m,train,0.575,2354
5.0,0.25,1513,0.374,-0.4396,-665.05,15m,train,0.6,2354
5.0,0.5,1513,0.302,-1.7074,-2583.3,15m,train,0.6,2354
5.0,0.75,1513,0.268,-2.679,-4053.29,15m,train,0.6,2354
5.0,1.0,1513,0.254,-3.4489,-5218.14,15m,train,0.6,2354
5.0,1.5,1513,0.233,-4.6833,-7085.78,15m,train,0.6,2354
5.0,2.0,1513,0.223,-5.6893,-8607.94,15m,train,0.6,2354
6.0,0.25,1513,0.367,-0.3308,-500.57,15m,train,0.6,2354
6.0,0.5,1513,0.289,-1.5772,-2386.31,15m,train,0.6,2354
