tf,split,hour,dow,net
15m,train,19,6,-2.211913450631618
15m,train,12,0,-2.8387304907351285
15m,train,21,0,-2.4117380465449654
15m,train,11,1,-1.963270503278986
15m,train,3,2,-2.9816854588840855
15m,train,8,2,-18.67162793186156
15m,train,23,2,-12.368455446291343
15m,train,1,3,-8.463617871501812
15m,train,15,3,-2.454766383195316
15m,train,10,4,2.4467686347136723
15m,train,14,4,11.868594478967976
15m,train,2,5,15.163516329196275
15m,train,7,5,4.422882933796283
15m,train,1,6,-1.4805802228950913
15m,train,8,0,12.19097144787648
15m,train,12,6,2.105742824697285
15m,train,3,2,-1.0242304134303712
15m,train,5,2,0.22568454392383352
15m,train,7,2,-0.45772195362365753
15m,train,15,2,-2.4755407917779446
15m,train,1,3,15.434134762641682
15m,train,11,4,1.5883740015247991
15m,train,20,5,-0.38277180426070156
15m,train,3,0,12.053541494639209
15m,train,23,0,1.4386398243405238
15m,train,9,2,-1.223860883451619
15m,train,20,2,-0.35676791440684485
15m,train,17,3,-0.1994541683805522
15m,train,10,4,10.273244292880719
15m,train,4,6,10.058501511898099
15m,train,1,6,-0.9714708359024308
15m,train,23,6,-4.545464608174554
15m,train,11,6,4.36116117136555
15m,train,17,6,4.82497458499361
15m,train,12,0,0.32186718899280387
15m,train,1,1,-1.73545870421365
15m,train,23,0,-4.594313328491176
15m,train,11,1,10.385716130302669
15m,train,14,1,0.4335304212616158
15m,train,13,2,4.865100707468364
15m,train,16,2,-0.6432629437628885
15m,train,21,2,-1.017232297585021
15m,train,4,3,-0.9767268164131708
15m,train,9,3,-0.2999353158857607
15m,train,1,4,-2.874076959712551
15m,train,11,4,-2.224222536392541
15m,train,7,4,10.508597374753453
15m,train,20,4,-1.2588096121103154
15m,train,19,5,-0.7833105848346023
15m,train,8,6,10.440091145984182
15m,train,8,6,1.177669760605819
15m,train,10,6,0.1549860084761815
15m,train,13,6,10.437296043791674
15m,train,3,0,-2.027412956997035
15m,train,13,0,0.17479727902884723
15m,train,20,0,10.28111908358088
15m,train,4,1,0.7538183866483821
15m,train,3,1,10.136429593618558
15m,train,8,1,-0.5104998571751553
15m,train,8,2,3.2963939072258315
15m,train,0,3,0.21915183783305586
15m,train,11,4,-1.650756221046543
15m,train,11,5,1.9334412149147828
15m,train,8,5,2.527952308260173
15m,train,13,5,0.6136482257948057
15m,train,13,5,-1.7933159196714101
15m,train,10,6,3.2645295642183134
15m,train,13,6,3.316218781639874
15m,train,1,0,-3.9125816736612418
15m,train,12,0,10.449351452138172
15m,train,18,0,-0.9642266427848393
15m,train,22,0,2.0541025303261837
15m,train,21,3,2.165197611653916
15m,train,22,1,-0.4594016732508671
15m,train,4,2,0.7391243051371159
15m,train,19,2,8.423634809188409
15m,train,1,3,-10.219759068386658
15m,train,5,4,-16.070282540991737
15m,train,19,4,-3.602848532065994
15m,train,16,5,-1.779342400585069
15m,train,22,6,9.144112534019342
15m,train,14,0,1.696747865050198
15m,train,18,0,-0.8511252250510097
15m,train,8,1,1.0625763229517404
15m,train,14,1,4.126688272062413
15m,train,23,1,8.860398015963419
15m,train,7,2,-0.6573182392753536
15m,train,13,2,0.9895398818721435
15m,train,15,2,8.785135674339621
15m,train,20,2,8.760416752634256
15m,train,21,2,-1.425816314059849
15m,train,8,3,-0.9285733530622594
15m,train,13,4,-0.022253904040592076
