r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
2.0,1.5,11026,0.185,-4.8083,-53016.33,15m,train,0.325,16895
2.0,2.0,11026,0.144,-5.7574,-63481.37,15m,train,0.325,16895
2.5,0.25,11026,0.413,-0.8265,-9113.37,15m,train,0.325,16895
2.5,0.5,11026,0.352,-2.0263,-22341.64,15m,train,0.325,16895
2.5,0.75,11026,0.311,-2.8855,-31815.28,15m,train,0.325,16895
2.5,1.0,11026,0.275,-3.5853,-39531.18,15m,train,0.325,16895
2.5,1.5,11026,0.216,-4.748,-52351.76,15m,train,0.325,16895
2.5,2.0,11026,0.172,-5.7022,-62872.96,15m,train,0.325,16895
3.0,0.25,11026,0.397,-0.7039,-7761.49,15m,train,0.325,16895
3.0,0.5,11026,0.338,-1.9326,-21309.24,15m,train,0.325,16895
3.0,0.75,11026,0.306,-2.8154,-31042.71,15m,train,0.325,16895
3.0,1.0,11026,0.279,-3.5242,-38857.67,15m,train,0.325,16895
3.0,1.5,11026,0.235,-4.6962,-51780.58,15m,train,0.325,16895
3.0,2.0,11026,0.197,-5.6609,-62417.18,15m,train,0.325,16895
3.5,0.25,11026,0.385,-0.5798,-6392.99,15m,train,0.325,16895
3.5,0.5,11026,0.327,-1.8224,-20093.33,15m,train,0.325,16895
3.5,0.75,11026,0.299,-2.7217,-30009.11,15m,train,0.325,16895
3.5,1.0,11026,0.277,-3.4351,-37875.52,15m,train,0.325,16895
3.5,1.5,11026,0.245,-4.6174,-50911.42,15m,train,0.325,16895
3.5,2.0,11026,0.213,-5.5932,-61670.57,15m,train,0.325,16895
4.0,0.25,11026,0.376,-0.471,-5193.27,15m,train,0.325,16895
4.0,0.5,11026,0.315,-1.7175,-18936.69,15m,train,0.325,16895
4.0,0.75,11026,0.288,-2.6322,-29022.63,15m,train,0.325,16895
4.0,1.0,11026,0.269,-3.3554,-36996.18,15m,train,0.325,16895
4.0,1.5,11026,0.243,-4.5479,-50145.12,15m,train,0.325,16895
4.0,2.0,11026,0.219,-5.5342,-61020.28,15m,train,0.325,16895
4.5,0.25,11026,0.367,-0.4071,-4488.24,15m,train,0.325,16895
4.5,0.5,11026,0.304,-1.6456,-18143.97,15m,train,0.325,16895
4.5,0.75,11026,0.277,-2.5652,-28283.71,15m,train,0.325,16895
4.5,1.0,11026,0.259,-3.3045,-36435.67,15m,train,0.325,16895
4.5,1.5,11026,0.237,-4.5105,-49732.92,15m,train,0.325,16895
4.5,2.0,11026,0.218,-5.5056,-60704.32,15m,train,0.325,16895
5.0,0.25,11026,0.362,-0.3521,-3882.21,15m,train,0.325,16895
5.0,0.5,11026,0.296,-1.5763,-17380.54,15m,train,0.325,16895
5.0,0.75,11026,0.268,-2.5033,-27601.56,15m,train,0.325,16895
5.0,1.0,11026,0.249,-3.2519,-35855.41,15m,train,0.325,16895
5.0,1.5,11026,0.227,-4.4587,-49161.8,15m,train,0.325,16895
5.0,2.0,11026,0.212,-5.457,-60168.75,15m,train,0.325,16895
7.0,0.25,11026,0.349,-0.1946,-2145.56,15m,train,0.325,16895
7.0,0.5,11026,0.275,-1.3756,-15167.71,15m,train,0.325,16895
7.0,0.75,11026,0.241,-2.3104,-25474.79,15m,train,0.325,16895
7.0,1.0,11026,0.22,-3.0636,-33778.83,15m,train,0.325,16895
7.0,1.5,11026,0.2,-4.293,-47334.36,15m,train,0.325,16895
7.0,2.0,11026,0.187,-5.3093,-58540.03,15m,train,0.325,16895
10.0,0.25,11026,0.343,-0.132,-1454.89,15m,train,0.325,16895
10.0,0.5,11026,0.262,-1.2628,-13923.1,15m,train,0.325,16895
10.0,0.75,11026,0.223,-2.1981,-24236.16,15m,train,0.325,16895
10.0,1.0,11026,0.198,-2.9522,-32551.04,15m,train,0.325,16895
10.0,1.5,11026,0.173,-4.1923,-46224.27,15m,train,0.325,16895
10.0,2.0,11026,0.157,-5.2252,-57613.1,15m,train,0.325,16895
1.5,0.25,10993,0.439,-1.0956,-12044.17,15m,train,0.35,16895
1.5,0.5,10993,0.337,-2.2132,-24329.78,15m,train,0.35,16895
1.5,0.75,10993,0.262,-3.0286,-33293.51,15m,train,0.35,16895
1.5,1.0,10993,0.211,-3.7021,-40697.44,15m,train,0.35,16895
1.5,1.5,10993,0.146,-4.8377,-53181.15,15m,train,0.35,16895
1.5,2.0,10993,0.113,-5.7745,-63479.35,15m,train,0.35,16895
2.0,0.25,10993,0.43,-0.9563,-10512.77,15m,train,0.35,16895
2.0,0.5,10993,0.356,-2.1176,-23278.92,15m,train,0.35,16895
2.0,0.75,10993,0.3,-2.9567,-32502.64,15m,train,0.35,16895
2.0,1.0,10993,0.251,-3.6395,-40009.4,15m,train,0.35,16895
2.0,1.5,10993,0.183,-4.792,-52678.96,15m,train,0.35,16895
