tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
15m,0.575,5.0,1.5,2.1642,1.4281,0.8859,624,1519,704
15m,0.6,3.5,0.75,1.5977,1.4262,1.1132,618,1513,703
15m,0.625,4.0,1.0,1.7447,1.4262,1.0624,617,1505,701
15m,0.475,5.0,2.0,2.0938,1.426,0.6493,636,1544,719
15m,0.3,2.0,0.25,1.4489,1.4253,0.7451,645,1577,731
15m,0.375,3.5,1.5,1.7217,1.425,0.3328,640,1566,727
15m,0.7,4.0,2.0,1.7465,1.4248,1.2735,611,1485,687
15m,0.325,2.5,0.5,1.5301,1.4235,0.653,643,1573,729
15m,0.675,2.5,0.25,1.5823,1.4234,1.3583,611,1489,692
15m,0.4,5.0,2.0,2.2603,1.4229,0.4162,640,1563,726
15m,0.425,3.5,1.5,1.7331,1.422,0.4935,640,1557,724
15m,0.3,3.0,1.0,1.6265,1.421,0.4088,645,1577,731
15m,0.35,4.5,2.0,1.9684,1.4192,0.2401,643,1571,728
15m,0.475,3.5,1.0,1.7637,1.4175,0.6158,636,1544,719
15m,0.3,2.5,0.5,1.5246,1.4173,0.5737,645,1577,731
15m,0.65,4.5,2.0,1.7079,1.4163,0.955,613,1496,695
15m,0.325,4.0,2.0,1.9235,1.4159,0.3207,643,1573,729
15m,0.425,5.0,2.0,2.1512,1.4155,0.5023,640,1557,724
15m,0.55,4.0,1.5,1.7369,1.4145,0.7582,627,1525,706
15m,0.375,3.0,0.75,1.6139,1.4144,0.5095,640,1566,727
15m,0.7,2.5,0.25,1.5644,1.4132,1.3823,611,1485,687
15m,0.4,4.5,2.0,2.045,1.412,0.4253,640,1563,726
15m,0.4,3.0,0.75,1.6279,1.4117,0.601,640,1563,726
15m,0.675,3.5,0.75,1.6247,1.4104,1.2917,611,1489,692
15m,0.35,2.5,0.5,1.4823,1.4101,0.5231,643,1571,728
15m,0.4,3.5,1.5,1.7719,1.4099,0.412,640,1563,726
15m,0.6,5.0,1.5,1.8724,1.4096,0.9209,618,1513,703
15m,0.3,3.5,2.0,1.665,1.4086,0.2262,645,1577,731
15m,0.35,3.0,1.0,1.5632,1.4078,0.4113,643,1571,728
15m,0.7,3.5,0.75,1.5165,1.4074,1.3125,611,1485,687
15m,0.675,4.0,2.0,1.7059,1.4051,1.1026,611,1489,692
15m,0.675,3.0,0.5,1.6653,1.4037,1.3133,611,1489,692
15m,0.525,3.0,0.5,1.8196,1.4036,0.9798,628,1532,710
15m,0.65,5.0,2.0,1.725,1.4032,0.963,613,1496,695
15m,0.65,4.0,1.5,1.6531,1.4027,1.0013,613,1496,695
15m,0.45,4.0,2.0,1.8819,1.4005,0.5671,638,1550,723
15m,0.3,4.5,2.0,2.0083,1.3997,0.2227,645,1577,731
15m,0.575,4.0,1.5,1.9384,1.3975,0.7614,624,1519,704
15m,0.575,3.5,1.0,1.7018,1.3944,0.9494,624,1519,704
15m,0.6,4.0,1.5,1.7442,1.3938,0.9063,618,1513,703
15m,0.5,4.0,2.0,1.8678,1.3913,0.6822,631,1535,715
15m,0.325,3.5,2.0,1.6621,1.3912,0.395,643,1573,729
15m,0.325,3.0,1.0,1.6441,1.3904,0.4643,643,1573,729
15m,0.575,3.0,0.5,1.7165,1.3901,1.1284,624,1519,704
15m,0.525,4.0,2.0,1.8489,1.389,0.6641,628,1532,710
15m,0.65,3.5,0.75,1.5957,1.3889,1.2333,613,1496,695
15m,0.325,4.5,2.0,1.9627,1.3861,0.2879,643,1573,729
15m,0.5,3.5,1.0,1.8973,1.3857,0.795,631,1535,715
15m,0.5,5.0,2.0,2.1073,1.3854,0.6779,631,1535,715
15m,0.35,2.0,0.25,1.5032,1.3851,0.7296,643,1571,728
15m,0.5,4.5,2.0,2.0666,1.3831,0.7782,631,1535,715
15m,0.625,5.0,1.5,1.8843,1.3776,1.0653,617,1505,701
15m,0.65,2.5,0.25,1.5221,1.3774,1.2668,613,1496,695
15m,0.325,2.0,0.25,1.4701,1.377,0.8241,643,1573,729
15m,0.45,5.0,2.0,2.137,1.377,0.5745,638,1550,723
15m,0.425,3.5,2.0,1.6925,1.3743,0.4709,640,1557,724
15m,0.525,4.5,2.0,1.9932,1.3741,0.8266,628,1532,710
15m,0.425,3.0,1.0,1.6104,1.3726,0.7179,640,1557,724
15m,0.375,3.5,2.0,1.6748,1.3718,0.309,640,1566,727
15m,0.5,3.0,0.5,1.8463,1.3714,0.9361,631,1535,715
15m,0.625,3.5,0.75,1.5925,1.3712,1.1804,617,1505,701
15m,0.45,3.0,0.75,1.6684,1.3701,0.6841,638,1550,723
15m,0.65,3.0,0.5,1.6147,1.37,1.1912,613,1496,695
15m,0.7,3.0,0.5,1.616,1.3693,1.3035,611,1485,687
15m,0.625,2.5,0.25,1.6799,1.3669,1.2731,617,1505,701
15m,0.55,4.0,2.0,1.7006,1.3656,0.7377,627,1525,706
15m,0.65,4.0,2.0,1.6166,1.3624,0.9836,613,1496,695
15m,0.55,3.0,0.5,1.6962,1.3619,1.0502,627,1525,706
15m,0.375,2.0,0.25,1.5858,1.3613,0.7524,640,1566,727
15m,0.55,3.5,1.5,1.6638,1.3608,0.8836,627,1525,706
15m,0.525,3.5,1.5,1.825,1.3599,0.7425,628,1532,710
15m,0.4,3.5,2.0,1.7245,1.3592,0.3875,640,1563,726
15m,0.575,5.0,2.0,2.1133,1.3586,0.8602,624,1519,704
15m,0.6,3.5,1.0,1.5577,1.3561,1.0912,618,1513,703
15m,0.325,2.5,0.75,1.3846,1.3534,0.6135,643,1573,729
15m,0.6,3.0,0.5,1.6121,1.3528,1.2014,618,1513,703
15m,0.575,4.0,2.0,1.9065,1.3517,0.7394,624,1519,704
15m,0.675,3.0,0.75,1.5445,1.3509,1.3006,611,1489,692
15m,0.6,4.0,2.0,1.7005,1.3498,0.8859,618,1513,703
15m,0.625,4.0,1.5,1.6994,1.3488,1.0313,617,1505,701
15m,0.45,3.5,1.5,1.7159,1.3483,0.526,638,1550,723
15m,0.7,3.5,1.0,1.4788,1.347,1.3014,611,1485,687
15m,0.6,5.0,2.0,1.8046,1.3459,0.8954,618,1513,703
15m,0.375,2.5,0.5,1.5692,1.3456,0.6173,640,1566,727
15m,0.675,3.5,1.0,1.5765,1.3453,1.2794,611,1489,692
15m,0.35,2.5,0.75,1.3362,1.3414,0.4851,643,1571,728
15m,0.475,3.5,1.5,1.7162,1.3404,0.5836,636,1544,719
15m,0.475,3.0,0.75,1.6401,1.3397,0.7635,636,1544,719
15m,0.3,3.0,1.5,1.5704,1.3373,0.3747,645,1577,731
15m,0.3,2.5,0.75,1.3858,1.3369,0.5385,645,1577,731
15m,0.4,3.0,1.0,1.5954,1.3362,0.5707,640,1563,726
15m,0.375,3.0,1.0,1.5707,1.3356,0.4816,640,1566,727
15m,0.625,3.0,0.5,1.6505,1.335,1.2188,617,1505,701
15m,0.4,2.0,0.25,1.5843,1.3294,0.789,640,1563,726
15m,0.35,3.0,1.5,1.5097,1.3277,0.3798,643,1571,728
15m,0.55,2.5,0.5,1.5773,1.3267,0.9408,627,1525,706
15m,0.575,3.5,1.5,1.663,1.3254,0.925,624,1519,704
15m,0.55,3.5,2.0,1.6312,1.3225,0.8692,627,1525,706
15m,0.65,3.5,1.0,1.5449,1.3221,1.2189,613,1496,695
15m,0.525,3.5,2.0,1.7912,1.32,0.7239,628,1532,710
15m,0.625,5.0,2.0,1.8198,1.3196,1.0388,617,1505,701
15m,0.7,3.0,0.75,1.552,1.319,1.2956,611,1485,687
15m,0.525,3.0,0.75,1.6969,1.3188,0.9532,628,1532,710
15m,0.6,2.0,0.25,1.5249,1.3153,1.1303,618,1513,703
15m,0.575,3.0,0.75,1.603,1.3148,1.1081,624,1519,704
15m,0.675,3.0,1.0,1.5111,1.3147,1.2949,611,1489,692
15m,0.65,3.0,0.75,1.4887,1.3141,1.1731,613,1496,695
15m,0.425,2.0,0.25,1.5558,1.3126,0.8855,640,1557,724
15m,0.6,2.5,0.5,1.5467,1.3097,1.1389,618,1513,703
15m,0.5,3.5,1.5,1.8582,1.3096,0.7609,631,1535,715
15m,0.325,3.0,1.5,1.5913,1.3083,0.4304,643,1573,729
15m,0.675,2.5,0.5,1.4883,1.3083,1.3564,611,1489,692
15m,0.625,4.0,2.0,1.662,1.3062,1.0134,617,1505,701
15m,0.475,2.0,0.25,1.5957,1.3057,0.9026,636,1544,719
15m,0.4,2.5,0.5,1.5555,1.3052,0.7663,640,1563,726
15m,0.7,2.5,0.5,1.4779,1.304,1.377,611,1485,687
15m,0.45,2.5,0.5,1.5046,1.3038,0.8998,638,1550,723
15m,0.45,3.5,2.0,1.6792,1.3028,0.5061,638,1550,723
15m,0.625,3.5,1.0,1.5526,1.3021,1.1619,617,1505,701
15m,0.575,2.0,0.25,1.5292,1.3018,1.0493,624,1519,704
15m,0.425,3.0,1.5,1.5778,1.3012,0.6896,640,1557,724
15m,0.475,2.5,0.5,1.5055,1.3006,0.8347,636,1544,719
15m,0.45,3.0,1.0,1.6368,1.2989,0.6582,638,1550,723
15m,0.475,3.5,2.0,1.6822,1.298,0.5655,636,1544,719
15m,0.575,2.5,0.5,1.6477,1.2958,1.0549,624,1519,704
15m,0.525,2.5,0.5,1.6674,1.2957,0.8694,628,1532,710
15m,0.55,2.0,0.25,1.4725,1.2918,0.9607,627,1525,706
15m,0.425,2.5,0.5,1.4966,1.2915,0.8776,640,1557,724
15m,0.3,3.0,2.0,1.5348,1.2912,0.3555,645,1577,731
15m,0.7,3.5,1.5,1.4208,1.2912,1.2896,611,1485,687
15m,0.325,2.5,1.0,1.3521,1.2903,0.5931,643,1573,729
15m,0.65,2.0,0.25,1.4728,1.2897,1.2089,613,1496,695
15m,0.6,3.5,1.5,1.5121,1.2896,1.0672,618,1513,703
15m,0.575,3.5,2.0,1.6304,1.2874,0.9112,624,1519,704
15m,0.675,3.5,1.5,1.5069,1.2843,1.2663,611,1489,692
15m,0.7,3.0,1.0,1.5234,1.2842,1.2925,611,1485,687
15m,0.525,2.0,0.25,1.6067,1.284,0.9628,628,1532,710
15m,0.35,3.0,2.0,1.4773,1.2838,0.362,643,1571,728
15m,0.6,3.0,0.75,1.4749,1.2834,1.1824,618,1513,703
15m,0.45,2.0,0.25,1.6093,1.283,0.9563,638,1550,723
15m,0.5,3.0,0.75,1.719,1.2827,0.9033,631,1535,715
15m,0.35,2.5,1.0,1.3023,1.2792,0.4656,643,1571,728
15m,0.375,2.5,0.75,1.4334,1.2775,0.5855,640,1566,727
15m,0.625,2.0,0.25,1.5493,1.2771,1.1411,617,1505,701
15m,0.55,3.0,0.75,1.5833,1.2755,1.0278,627,1525,706
15m,0.475,3.0,1.0,1.6145,1.2745,0.7434,636,1544,719
15m,0.675,3.0,1.5,1.4753,1.2737,1.2895,611,1489,692
15m,0.625,3.0,0.75,1.5148,1.2734,1.199,617,1505,701
15m,0.675,2.0,0.25,1.5139,1.2727,1.2764,611,1489,692
15m,0.3,2.5,1.0,1.3568,1.2715,0.5204,645,1577,731
15m,0.55,2.5,0.75,1.4696,1.2696,0.9282,627,1525,706
15m,0.5,3.5,2.0,1.8289,1.2677,0.7418,631,1535,715
15m,0.675,2.5,0.75,1.4481,1.2637,1.3613,611,1489,692
15m,0.325,3.0,2.0,1.5576,1.2633,0.4112,643,1573,729
15m,0.65,3.0,1.0,1.4531,1.2631,1.164,613,1496,695
15m,0.425,3.0,2.0,1.5491,1.2623,0.6738,640,1557,724
15m,0.6,2.5,0.75,1.4364,1.2622,1.135,618,1513,703
15m,0.5,2.0,0.25,1.6237,1.2616,0.9524,631,1535,715
15m,0.7,2.5,0.75,1.4403,1.2614,1.3805,611,1485,687
15m,0.7,3.5,2.0,1.3899,1.2606,1.2831,611,1485,687
15m,0.65,3.5,1.5,1.4722,1.2593,1.2034,613,1496,695
15m,0.4,3.0,1.5,1.5623,1.2588,0.5381,640,1563,726
15m,0.5,2.5,0.5,1.6844,1.2562,0.9437,631,1535,715
15m,0.525,3.0,1.0,1.6736,1.2556,0.9396,628,1532,710
15m,0.575,3.0,1.0,1.5693,1.2547,1.098,624,1519,704
15m,0.7,2.0,0.25,1.4735,1.2539,1.2113,611,1485,687
15m,0.375,3.0,1.5,1.5285,1.2538,0.4515,640,1566,727
15m,0.6,3.5,2.0,1.4744,1.2529,1.0535,618,1513,703
15m,0.65,2.5,0.5,1.4235,1.2525,1.2525,613,1496,695
15m,0.675,3.0,2.0,1.4559,1.2509,1.2867,611,1489,692
15m,0.675,3.5,2.0,1.4698,1.2507,1.259,611,1489,692
15m,0.7,3.0,1.5,1.4941,1.2449,1.2899,611,1485,687
15m,0.575,2.5,0.75,1.5433,1.244,1.0459,624,1519,704
15m,0.675,2.5,1.0,1.4312,1.2394,1.3654,611,1489,692
15m,0.7,2.5,1.0,1.425,1.2384,1.3838,611,1485,687
15m,0.45,2.5,0.75,1.3933,1.2381,0.8836,638,1550,723
15m,0.4,2.5,0.75,1.4343,1.2378,0.7444,640,1563,726
15m,0.625,3.5,1.5,1.5016,1.2367,1.1417,617,1505,701
15m,0.525,2.5,0.75,1.5438,1.2361,0.8539,628,1532,710
15m,0.475,2.5,0.75,1.3881,1.2351,0.8193,636,1544,719
15m,0.625,2.5,0.5,1.5799,1.2335,1.2534,617,1505,701
15m,0.45,3.0,1.5,1.5976,1.2323,0.6302,638,1550,723
15m,0.325,2.5,1.5,1.3157,1.2319,0.571,643,1573,729
15m,0.6,3.0,1.0,1.4223,1.2264,1.1727,618,1513,703
15m,0.425,2.5,0.75,1.3792,1.2248,0.8578,640,1557,724
15m,0.65,3.5,2.0,1.4334,1.2248,1.1947,613,1496,695
15m,0.7,3.0,2.0,1.4783,1.2231,1.2887,611,1485,687
15m,0.35,2.5,1.5,1.2645,1.2217,0.4448,643,1571,728
15m,0.3,2.0,0.5,1.3185,1.2209,0.6483,645,1577,731
15m,0.55,2.5,1.0,1.4466,1.2198,0.9224,627,1525,706
15m,0.625,3.0,1.0,1.4742,1.2198,1.189,617,1505,701
15m,0.5,3.0,1.0,1.6935,1.2174,0.8864,631,1535,715
15m,0.65,3.0,1.5,1.4145,1.2174,1.1546,613,1496,695
15m,0.6,2.5,1.0,1.4091,1.2168,1.1341,618,1513,703
15m,0.4,3.0,2.0,1.5333,1.2167,0.5198,640,1563,726
15m,0.6,2.0,0.5,1.4394,1.2154,1.1435,618,1513,703
15m,0.375,2.5,1.0,1.4041,1.215,0.5693,640,1566,727
15m,0.7,2.5,1.5,1.4101,1.2132,1.3885,611,1485,687
15m,0.475,3.0,1.5,1.5828,1.2125,0.7219,636,1544,719
15m,0.55,3.0,1.0,1.5637,1.2124,1.0166,627,1525,706
15m,0.675,2.5,1.5,1.4145,1.2124,1.371,611,1489,692
15m,0.3,2.5,1.5,1.3271,1.2103,0.5008,645,1577,731
15m,0.375,3.0,2.0,1.502,1.2089,0.4346,640,1566,727
15m,0.35,2.0,0.5,1.3655,1.2064,0.6471,643,1571,728
15m,0.65,2.5,0.75,1.3816,1.2054,1.2516,613,1496,695
15m,0.375,2.0,0.5,1.4363,1.2017,0.6878,640,1566,727
15m,0.625,3.5,2.0,1.4574,1.2007,1.1302,617,1505,701
15m,0.65,2.0,0.5,1.4094,1.2002,1.2258,613,1496,695
15m,0.325,2.5,2.0,1.2888,1.1999,0.5584,643,1573,729
15m,0.7,2.5,2.0,1.4025,1.1989,1.3915,611,1485,687
15m,0.575,3.0,1.5,1.5162,1.1975,1.0874,624,1519,704
15m,0.675,2.5,2.0,1.4059,1.1971,1.3746,611,1489,692
15m,0.575,2.5,1.0,1.5208,1.1967,1.0422,624,1519,704
15m,0.575,2.0,0.5,1.4585,1.1966,1.0578,624,1519,704
15m,0.325,2.0,0.5,1.3441,1.1963,0.7316,643,1573,729
15m,0.45,3.0,2.0,1.5639,1.1961,0.6144,638,1550,723
15m,0.525,3.0,1.5,1.6453,1.1954,0.925,628,1532,710
15m,0.65,3.0,2.0,1.3935,1.1921,1.1494,613,1496,695
15m,0.5,2.5,0.75,1.566,1.1914,0.9286,631,1535,715
15m,0.35,2.5,2.0,1.2367,1.1903,0.4331,643,1571,728
15m,0.675,2.0,0.5,1.4451,1.1888,1.298,611,1489,692
15m,0.625,2.0,0.5,1.4726,1.1874,1.151,617,1505,701
15m,0.525,2.5,1.0,1.5125,1.1854,0.8463,628,1532,710
15m,0.625,2.5,0.75,1.5297,1.1821,1.2513,617,1505,701
15m,0.475,2.5,1.0,1.3516,1.182,0.8118,636,1544,719
15m,0.65,2.5,1.0,1.3637,1.1794,1.2524,613,1496,695
15m,0.475,2.0,0.5,1.5078,1.1791,0.8951,636,1544,719
15m,0.55,2.0,0.5,1.3993,1.1787,0.9626,627,1525,706
15m,0.475,3.0,2.0,1.5534,1.1784,0.7097,636,1544,719
15m,0.6,2.0,0.75,1.4033,1.178,1.1538,618,1513,703
15m,0.4,2.0,0.5,1.4621,1.1775,0.7318,640,1563,726
15m,0.45,2.5,1.0,1.3771,1.1774,0.8756,638,1550,723
15m,0.6,2.5,1.5,1.3788,1.1769,1.1339,618,1513,703
15m,0.3,2.5,2.0,1.3065,1.1767,0.4897,645,1577,731
15m,0.4,2.5,1.0,1.413,1.1762,0.7333,640,1563,726
15m,0.55,2.5,1.5,1.4212,1.1748,0.9166,627,1525,706
15m,0.6,3.0,1.5,1.3657,1.1738,1.1625,618,1513,703
15m,0.7,2.0,0.5,1.412,1.1729,1.2221,611,1485,687
15m,0.625,3.0,1.5,1.4297,1.171,1.1785,617,1505,701
15m,0.65,2.0,0.75,1.3836,1.1679,1.2375,613,1496,695
15m,0.575,3.0,2.0,1.4887,1.1657,1.0816,624,1519,704
15m,0.425,2.5,1.0,1.3595,1.165,0.8478,640,1557,724
15m,0.525,2.0,0.5,1.5337,1.1637,0.9638,628,1532,710
15m,0.425,2.0,0.5,1.4353,1.1627,0.867,640,1557,724
15m,0.3,2.0,0.75,1.1993,1.1624,0.6344,645,1577,731
15m,0.525,3.0,2.0,1.6179,1.1622,0.9169,628,1532,710
15m,0.525,1.5,0.25,1.4719,1.1609,0.8968,628,1532,710
15m,0.675,2.0,0.75,1.4312,1.1589,1.3117,611,1489,692
15m,0.325,1.5,0.25,1.3354,1.1584,0.6963,643,1573,729
15m,0.6,2.0,1.0,1.3883,1.1577,1.1608,618,1513,703
15m,0.375,2.5,1.5,1.3715,1.157,0.552,640,1566,727
15m,0.575,2.0,0.75,1.4313,1.1568,1.067,624,1519,704
15m,0.5,3.0,1.5,1.6624,1.1554,0.8681,631,1535,715
15m,0.6,2.5,2.0,1.3624,1.155,1.1341,618,1513,703
15m,0.575,2.5,1.5,1.4961,1.1546,1.0389,624,1519,704
15m,0.625,2.0,0.75,1.441,1.1536,1.1599,617,1505,701
15m,0.625,2.5,1.0,1.5072,1.1536,1.2514,617,1505,701
15m,0.35,2.0,0.75,1.2463,1.1528,0.6394,643,1571,728
15m,0.45,2.0,0.5,1.5118,1.1521,0.9353,638,1550,723
15m,0.55,3.0,1.5,1.5177,1.152,1.005,627,1525,706
15m,0.375,2.0,0.75,1.3078,1.1513,0.6807,640,1566,727
15m,0.65,2.0,1.0,1.3749,1.1507,1.2454,613,1496,695
15m,0.65,2.5,1.5,1.3459,1.1505,1.2541,613,1496,695
15m,0.55,2.5,2.0,1.4076,1.15,0.9137,627,1525,706
15m,0.55,1.5,0.25,1.3572,1.1485,0.8789,627,1525,706
15m,0.35,1.5,0.25,1.2175,1.1477,0.5796,643,1571,728
15m,0.425,1.5,0.25,1.1466,1.1477,0.8463,640,1557,724
15m,0.4,1.5,0.25,1.1806,1.1462,0.687,640,1563,726
15m,0.6,3.0,2.0,1.3347,1.1447,1.157,618,1513,703
15m,0.7,2.0,0.75,1.4006,1.1442,1.2309,611,1485,687
15m,0.625,3.0,2.0,1.4051,1.144,1.1728,617,1505,701
15m,0.675,2.0,1.0,1.426,1.1429,1.3207,611,1489,692
15m,0.325,2.0,0.75,1.2293,1.1419,0.7195,643,1573,729
15m,0.525,2.5,1.5,1.4777,1.1394,0.8385,628,1532,710
15m,0.3,1.5,0.25,1.3224,1.1393,0.679,645,1577,731
15m,0.5,2.5,1.0,1.5285,1.1381,0.9213,631,1535,715
15m,0.625,2.0,1.0,1.4288,1.1355,1.1661,617,1505,701
15m,0.55,2.0,0.75,1.3709,1.1354,0.9693,627,1525,706
15m,0.6,2.0,1.5,1.3735,1.1353,1.1698,618,1513,703
15m,0.575,2.0,1.0,1.4216,1.135,1.0734,624,1519,704
15m,0.65,2.5,2.0,1.3365,1.1341,1.2554,613,1496,695
15m,0.475,2.5,1.5,1.3116,1.1332,0.8043,636,1544,719
15m,0.65,2.0,1.5,1.3675,1.1319,1.2553,613,1496,695
15m,0.575,2.5,2.0,1.4829,1.1315,1.0373,624,1519,704
15m,0.7,2.0,1.0,1.3967,1.1292,1.2371,611,1485,687
15m,0.4,2.0,0.75,1.3435,1.1282,0.7269,640,1563,726
15m,0.5,2.0,0.5,1.5418,1.1262,0.9473,631,1535,715
15m,0.375,1.5,0.25,1.1795,1.1257,0.6374,640,1566,727
15m,0.675,2.0,1.5,1.4218,1.1256,1.332,611,1489,692
15m,0.475,2.0,0.75,1.4088,1.1255,0.8983,636,1544,719
15m,0.375,2.5,2.0,1.3467,1.1251,0.5424,640,1566,727
15m,0.6,2.0,2.0,1.3659,1.1226,1.1753,618,1513,703
15m,0.45,2.5,1.5,1.3383,1.1222,0.8673,638,1550,723
15m,0.625,2.5,1.5,1.4841,1.1218,1.2524,617,1505,701
15m,0.65,2.0,2.0,1.3642,1.1214,1.2615,613,1496,695
15m,0.5,3.0,2.0,1.6333,1.1212,0.8577,631,1535,715
15m,0.4,2.5,1.5,1.3703,1.1189,0.7216,640,1563,726
15m,0.55,3.0,2.0,1.4854,1.1186,0.9986,627,1525,706
15m,0.65,1.5,0.25,1.2472,1.1183,1.0534,613,1496,695
15m,0.525,2.0,0.75,1.4408,1.1176,0.9695,628,1532,710
15m,0.625,1.5,0.25,1.3485,1.1169,1.0141,617,1505,701
15m,0.675,1.5,0.25,1.315,1.1169,1.0685,611,1489,692
15m,0.675,2.0,2.0,1.4202,1.1158,1.3388,611,1489,692
15m,0.625,2.0,1.5,1.4173,1.1156,1.1741,617,1505,701
15m,0.425,2.0,0.75,1.3237,1.115,0.8652,640,1557,724
15m,0.525,2.5,2.0,1.4585,1.1141,0.8342,628,1532,710
15m,0.7,2.0,1.5,1.3941,1.1131,1.2452,611,1485,687
15m,0.6,1.5,0.25,1.3076,1.1127,0.9619,618,1513,703
15m,0.55,2.0,1.0,1.3604,1.1118,0.9745,627,1525,706
15m,0.475,1.5,0.25,1.2855,1.1111,0.7994,636,1544,719
15m,0.575,2.0,1.5,1.4129,1.111,1.0819,624,1519,704
15m,0.425,2.5,1.5,1.319,1.1096,0.8373,640,1557,724
15m,0.7,1.5,0.25,1.2651,1.1081,1.0375,611,1485,687
15m,0.5,1.5,0.25,1.3827,1.1078,0.8511,631,1535,715
15m,0.3,2.0,1.0,1.1812,1.1073,0.6277,645,1577,731
15m,0.475,2.5,2.0,1.2894,1.1063,0.8003,636,1544,719
15m,0.625,2.0,2.0,1.4115,1.1045,1.179,617,1505,701
15m,0.7,2.0,2.0,1.3933,1.1042,1.2504,611,1485,687
15m,0.625,2.5,2.0,1.4717,1.1036,1.2533,617,1505,701
15m,0.45,2.0,0.75,1.4059,1.1003,0.9337,638,1550,723
15m,0.525,1.5,0.5,1.4394,1.0999,0.921,628,1532,710
15m,0.375,2.0,1.0,1.2773,1.0991,0.6779,640,1566,727
15m,0.35,2.0,1.0,1.2111,1.0989,0.6363,643,1571,728
15m,0.575,2.0,2.0,1.4088,1.0973,1.0872,624,1519,704
15m,0.575,1.5,0.25,1.3941,1.0969,0.9017,624,1519,704
15m,0.45,1.5,0.25,1.2606,1.0945,0.7617,638,1550,723
15m,0.525,2.0,1.0,1.425,1.0924,0.974,628,1532,710
15m,0.45,2.5,2.0,1.3135,1.0921,0.8629,638,1550,723
15m,0.5,2.5,1.5,1.4875,1.0892,0.9139,631,1535,715
15m,0.55,1.5,0.5,1.3404,1.0885,0.8953,627,1525,706
15m,0.325,2.0,1.0,1.197,1.0874,0.7138,643,1573,729
15m,0.4,2.5,2.0,1.3413,1.0874,0.7152,640,1563,726
15m,0.55,2.0,1.5,1.3507,1.0857,0.9815,627,1525,706
15m,0.475,2.0,1.0,1.3908,1.085,0.9017,636,1544,719
15m,0.425,2.5,2.0,1.2913,1.0793,0.8317,640,1557,724
15m,0.675,1.5,0.5,1.3107,1.0793,1.0954,611,1489,692
15m,0.65,1.5,0.5,1.2416,1.0784,1.078,613,1496,695
15m,0.4,2.0,1.0,1.3176,1.0774,0.7253,640,1563,726
15m,0.7,1.5,0.5,1.2701,1.0769,1.0691,611,1485,687
15m,0.525,1.5,0.75,1.4337,1.0762,0.9357,628,1532,710
15m,0.625,1.5,0.5,1.3376,1.0747,1.0342,617,1505,701
15m,0.5,2.0,0.75,1.4443,1.0738,0.9513,631,1535,715
15m,0.55,2.0,2.0,1.346,1.0709,0.9861,627,1525,706
15m,0.425,1.5,0.5,1.092,1.0704,0.8766,640,1557,724
15m,0.7,1.5,0.75,1.2807,1.0687,1.0865,611,1485,687
15m,0.675,1.5,0.75,1.3179,1.0682,1.1108,611,1489,692
15m,0.55,1.5,0.75,1.3419,1.0671,0.9069,627,1525,706
15m,0.7,1.5,1.0,1.2888,1.0652,1.0977,611,1485,687
15m,0.65,1.5,0.75,1.2485,1.0647,1.0924,613,1496,695
15m,0.425,2.0,1.0,1.3005,1.0646,0.8656,640,1557,724
15m,0.525,2.0,1.5,1.4068,1.0644,0.9803,628,1532,710
15m,0.525,1.5,1.0,1.4321,1.0635,0.9454,628,1532,710
15m,0.4,1.5,0.5,1.118,1.0634,0.7124,640,1563,726
15m,0.675,1.5,1.0,1.3242,1.0629,1.1207,611,1489,692
15m,0.7,1.5,1.5,1.2997,1.0623,1.1116,611,1485,687
15m,0.5,2.5,2.0,1.4647,1.0621,0.91,631,1535,715
15m,0.6,1.5,0.5,1.2915,1.0614,0.9797,618,1513,703
15m,0.7,1.5,2.0,1.3068,1.061,1.1201,611,1485,687
15m,0.625,1.5,0.75,1.3418,1.0599,1.0468,617,1505,701
15m,0.325,1.5,0.5,1.2726,1.0584,0.7024,643,1573,729
15m,0.65,1.5,1.0,1.2545,1.0581,1.1018,613,1496,695
15m,0.3,2.0,1.5,1.1608,1.0578,0.6208,645,1577,731
15m,0.675,1.5,1.5,1.3332,1.0577,1.1331,611,1489,692
15m,0.45,2.0,1.0,1.3852,1.0568,0.9344,638,1550,723
15m,0.55,1.5,1.0,1.3447,1.0559,0.9148,627,1525,706
15m,0.675,1.5,2.0,1.3391,1.0551,1.1406,611,1489,692
15m,0.375,2.0,1.5,1.2412,1.0536,0.6756,640,1566,727
15m,0.625,1.5,1.0,1.3462,1.0526,1.0552,617,1505,701
15m,0.35,2.0,1.5,1.1789,1.0517,0.6338,643,1571,728
15m,0.65,1.5,1.5,1.2632,1.0515,1.1135,613,1496,695
15m,0.475,2.0,1.5,1.3699,1.0507,0.9067,636,1544,719
15m,0.525,1.5,1.5,1.4315,1.0498,0.9574,628,1532,710
15m,0.35,1.5,0.5,1.1464,1.0491,0.5981,643,1571,728
15m,0.525,2.0,2.0,1.3972,1.0486,0.9843,628,1532,710
15m,0.65,1.5,2.0,1.2689,1.048,1.1208,613,1496,695
15m,0.625,1.5,1.5,1.3528,1.0451,1.0658,617,1505,701
15m,0.55,1.5,1.5,1.3493,1.0438,0.9249,627,1525,706
15m,0.6,1.5,0.75,1.2928,1.0438,0.9912,618,1513,703
15m,0.425,1.5,0.75,1.0657,1.0432,0.8927,640,1557,724
