zone_kind,r_target,expiry_days,iv_threshold,split,n,win_rate,avg_pnl_$,total_pnl_$
BB,2.5,5.0,60.0,train,400,0.41,1.605,641.9
BB,2.5,5.0,60.0,validation,226,0.451,2.638,596.3
BB,2.5,5.0,60.0,holdout,156,0.423,2.804,437.5
MB,3.0,0.5,70.0,train,527,0.499,3.638,1917.4
MB,3.0,0.5,70.0,validation,325,0.446,1.61,523.2
MB,3.0,0.5,70.0,holdout,208,0.433,1.649,343.0
OB,3.0,0.5,60.0,train,1229,0.517,1.346,1654.6
OB,3.0,0.5,60.0,validation,715,0.48,0.936,669.3
OB,3.0,0.5,60.0,holdout,478,0.521,1.959,936.4
