zone_kind,r_target,expiry_days,iv_threshold,n,win_rate,avg_pnl_$,total_pnl_$,std_pnl_$
BB,2.0,1.0,90,65,0.477,1.149,74.7,8.448
BB,2.0,2.0,60,399,0.461,1.266,505.1,10.74
BB,2.0,2.0,65,265,0.46,0.773,204.9,10.848
BB,2.0,2.0,70,186,0.468,0.879,163.5,11.948
BB,2.0,2.0,75,150,0.487,0.881,132.2,11.608
BB,2.0,2.0,80,101,0.465,0.45,45.4,10.215
BB,2.0,2.0,85,78,0.487,1.337,104.3,8.487
BB,2.0,2.0,90,65,0.462,1.106,71.9,8.455
BB,2.0,3.0,60,399,0.459,1.284,512.2,10.828
BB,2.0,3.0,65,265,0.457,0.783,207.4,10.883
BB,2.0,3.0,70,186,0.468,0.912,169.5,11.983
BB,2.0,3.0,75,150,0.487,0.911,136.7,11.612
BB,2.0,3.0,80,101,0.465,0.461,46.6,10.204
BB,2.0,3.0,85,78,0.487,1.336,104.2,8.56
BB,2.0,3.0,90,65,0.462,1.087,70.6,8.466
BB,2.0,5.0,60,399,0.456,1.304,520.3,10.932
BB,2.0,5.0,65,265,0.453,0.794,210.4,10.927
BB,2.0,5.0,70,186,0.462,0.946,175.9,12.03
BB,2.0,5.0,75,150,0.48,0.942,141.3,11.625
BB,2.0,5.0,80,101,0.455,0.476,48.1,10.196
BB,2.0,5.0,85,78,0.474,1.336,104.2,8.645
BB,2.0,5.0,90,65,0.446,1.065,69.2,8.476
BB,2.5,0.5,60,399,0.454,1.442,575.5,11.249
BB,2.5,0.5,65,265,0.464,1.146,303.6,11.488
BB,2.5,0.5,70,186,0.489,1.286,239.2,12.619
BB,2.5,0.5,75,150,0.5,1.188,178.2,12.257
BB,2.5,0.5,80,101,0.485,0.522,52.7,10.447
BB,2.5,0.5,85,78,0.513,1.515,118.2,8.419
BB,2.5,0.5,90,65,0.477,1.305,84.8,8.573
BB,2.5,1.0,60,399,0.431,1.489,594.2,11.577
BB,2.5,1.0,65,265,0.442,1.101,291.8,11.56
BB,2.5,1.0,70,186,0.468,1.385,257.6,12.722
BB,2.5,1.0,75,150,0.487,1.329,199.4,12.317
BB,2.5,1.0,80,101,0.465,0.57,57.6,10.437
BB,2.5,1.0,85,78,0.487,1.584,123.6,8.697
BB,2.5,1.0,90,65,0.462,1.36,88.4,8.789
BB,2.5,2.0,60,399,0.419,1.559,621.9,11.889
BB,2.5,2.0,65,265,0.43,1.123,297.7,11.67
BB,2.5,2.0,70,186,0.457,1.469,273.3,12.828
BB,2.5,2.0,75,150,0.48,1.416,212.3,12.364
BB,2.5,2.0,80,101,0.455,0.584,59.0,10.403
BB,2.5,2.0,85,78,0.474,1.587,123.8,8.841
BB,2.5,2.0,90,65,0.446,1.328,86.3,8.834
BB,2.5,3.0,60,399,0.416,1.594,636.0,12.056
BB,2.5,3.0,65,265,0.426,1.136,300.9,11.728
BB,2.5,3.0,70,186,0.457,1.508,280.4,12.886
BB,2.5,3.0,75,150,0.48,1.454,218.0,12.393
BB,2.5,3.0,80,101,0.455,0.591,59.7,10.389
BB,2.5,3.0,85,78,0.474,1.585,123.6,8.91
BB,2.5,3.0,90,65,0.446,1.306,84.9,8.843
BB,2.5,5.0,60,399,0.411,1.633,651.5,12.248
BB,2.5,5.0,65,265,0.419,1.15,304.6,11.795
BB,2.5,5.0,70,186,0.446,1.547,287.7,12.955
BB,2.5,5.0,75,150,0.467,1.493,223.9,12.431
BB,2.5,5.0,80,101,0.436,0.601,60.7,10.376
BB,2.5,5.0,85,78,0.462,1.583,123.5,8.987
BB,2.5,5.0,90,65,0.431,1.281,83.3,8.847
BB,3.0,0.5,60,399,0.439,1.418,565.7,11.798
BB,3.0,0.5,65,265,0.445,1.076,285.2,12.188
BB,3.0,0.5,70,186,0.473,1.068,198.6,13.246
BB,3.0,0.5,75,150,0.48,0.929,139.3,12.912
BB,3.0,0.5,80,101,0.455,-0.021,-2.2,11.0
BB,3.0,0.5,85,78,0.487,1.352,105.4,9.169
BB,3.0,0.5,90,65,0.446,0.894,58.1,9.131
BB,3.0,1.0,60,399,0.406,1.48,590.5,12.309
BB,3.0,1.0,65,265,0.411,1.059,280.6,12.486
BB,3.0,1.0,70,186,0.435,1.143,212.7,13.403
BB,3.0,1.0,75,150,0.447,1.015,152.3,12.922
BB,3.0,1.0,80,101,0.426,0.011,1.1,10.978
BB,3.0,1.0,85,78,0.449,1.393,108.7,9.411
BB,3.0,1.0,90,65,0.431,0.9,58.5,9.273
BB,3.0,2.0,60,399,0.388,1.54,614.4,12.65
BB,3.0,2.0,65,265,0.392,1.056,280.0,12.6
BB,3.0,2.0,70,186,0.419,1.221,227.1,13.579
BB,3.0,2.0,75,150,0.44,1.074,161.1,12.962
BB,3.0,2.0,80,101,0.416,0.018,1.8,10.955
BB,3.0,2.0,85,78,0.436,1.382,107.8,9.562
BB,3.0,2.0,90,65,0.415,0.85,55.2,9.321
BB,3.0,3.0,60,399,0.386,1.562,623.2,12.805
BB,3.0,3.0,65,265,0.389,1.051,278.6,12.644
BB,3.0,3.0,70,186,0.419,1.255,233.3,13.669
BB,3.0,3.0,75,150,0.44,1.097,164.6,12.987
BB,3.0,3.0,80,101,0.416,0.018,1.9,10.938
BB,3.0,3.0,85,78,0.436,1.367,106.7,9.621
BB,3.0,3.0,90,65,0.415,0.813,52.9,9.319
BB,3.0,5.0,60,399,0.381,1.589,633.9,12.99
BB,3.0,5.0,65,265,0.381,1.049,278.0,12.708
BB,3.0,5.0,70,186,0.409,1.289,239.7,13.773
BB,3.0,5.0,75,150,0.427,1.121,168.2,13.021
BB,3.0,5.0,80,101,0.396,0.02,2.0,10.92
BB,3.0,5.0,85,78,0.423,1.349,105.2,9.687
BB,3.0,5.0,90,65,0.4,0.769,50.0,9.31
