zone_kind,r_target,expiry_days,iv_threshold,n,win_rate,avg_pnl_$,total_pnl_$,std_pnl_$
MB,2.0,5.0,65,736,0.446,2.004,1474.8,12.664
MB,2.0,5.0,70,527,0.476,2.649,1396.1,12.887
MB,2.0,5.0,75,423,0.478,2.631,1112.8,12.647
MB,2.0,5.0,80,307,0.459,1.499,460.3,11.385
MB,2.0,5.0,85,252,0.46,1.655,417.0,9.843
MB,2.0,5.0,90,232,0.453,1.565,363.2,10.089
MB,2.5,0.5,60,1099,0.497,2.947,3238.7,11.687
MB,2.5,0.5,65,736,0.493,2.653,1952.6,11.872
MB,2.5,0.5,70,527,0.51,3.112,1640.2,11.923
MB,2.5,0.5,75,423,0.513,3.19,1349.5,11.594
MB,2.5,0.5,80,307,0.502,2.522,774.3,10.439
MB,2.5,0.5,85,252,0.488,2.303,580.4,10.13
MB,2.5,0.5,90,232,0.478,2.177,505.0,10.363
MB,2.5,1.0,60,1099,0.456,2.702,2969.5,12.427
MB,2.5,1.0,65,736,0.459,2.372,1746.0,12.509
MB,2.5,1.0,70,527,0.48,2.789,1469.7,12.602
MB,2.5,1.0,75,423,0.478,2.795,1182.4,12.239
MB,2.5,1.0,80,307,0.459,2.098,644.1,11.171
MB,2.5,1.0,85,252,0.444,1.776,447.5,10.604
MB,2.5,1.0,90,232,0.435,1.59,368.8,10.775
MB,2.5,2.0,60,1099,0.429,2.283,2509.5,13.007
MB,2.5,2.0,65,736,0.429,1.931,1421.1,13.33
MB,2.5,2.0,70,527,0.454,2.276,1199.2,13.42
MB,2.5,2.0,75,423,0.454,2.157,912.4,13.105
MB,2.5,2.0,80,307,0.44,1.244,381.8,12.115
MB,2.5,2.0,85,252,0.429,1.308,329.6,10.445
MB,2.5,2.0,90,232,0.418,1.197,277.6,10.731
MB,2.5,3.0,60,1099,0.412,2.162,2375.8,13.025
MB,2.5,3.0,65,736,0.412,1.802,1326.3,13.273
MB,2.5,3.0,70,527,0.431,2.215,1167.4,13.551
MB,2.5,3.0,75,423,0.428,2.091,884.4,13.231
MB,2.5,3.0,80,307,0.41,1.162,356.9,12.165
MB,2.5,3.0,85,252,0.405,1.191,300.1,10.554
MB,2.5,3.0,90,232,0.392,1.086,252.0,10.84
MB,2.5,5.0,60,1099,0.402,2.056,2259.5,13.16
MB,2.5,5.0,65,736,0.399,1.692,1245.1,13.375
MB,2.5,5.0,70,527,0.419,2.113,1113.7,13.641
MB,2.5,5.0,75,423,0.416,1.974,834.9,13.304
MB,2.5,5.0,80,307,0.394,1.014,311.3,12.133
