global_cap,ob_cap,margin_pct,split,final_balance,total_return_pct,max_dd_pct,calmar,n_closed
10,4,0.75,holdout,4295.0,114.75,7.88,14.57,957
10,5,0.75,train,6956.7,247.83,7.45,33.26,2309
10,5,0.75,validation,3265.3,63.26,7.1,8.908,1121
10,5,0.75,holdout,4295.0,114.75,7.88,14.57,957
10,6,0.75,train,6956.7,247.83,7.45,33.26,2309
10,6,0.75,validation,3265.3,63.26,7.1,8.908,1121
10,6,0.75,holdout,4295.0,114.75,7.88,14.57,957
12,3,0.75,train,6956.7,247.83,7.45,33.26,2309
12,3,0.75,validation,3265.3,63.26,7.1,8.908,1121
12,3,0.75,holdout,4295.0,114.75,7.88,14.57,957
12,4,0.75,train,6956.7,247.83,7.45,33.26,2309
12,4,0.75,validation,3265.3,63.26,7.1,8.908,1121
12,4,0.75,holdout,4295.0,114.75,7.88,14.57,957
12,5,0.75,train,6956.7,247.83,7.45,33.26,2309
12,5,0.75,validation,3265.3,63.26,7.1,8.908,1121
12,5,0.75,holdout,4295.0,114.75,7.88,14.57,957
12,6,0.75,train,6956.7,247.83,7.45,33.26,2309
12,6,0.75,validation,3265.3,63.26,7.1,8.908,1121
12,6,0.75,holdout,4295.0,114.75,7.88,14.57,957
14,3,0.75,train,6956.7,247.83,7.45,33.26,2309
14,3,0.75,validation,3265.3,63.26,7.1,8.908,1121
14,3,0.75,holdout,4295.0,114.75,7.88,14.57,957
14,4,0.75,train,6956.7,247.83,7.45,33.26,2309
14,4,0.75,validation,3265.3,63.26,7.1,8.908,1121
14,4,0.75,holdout,4295.0,114.75,7.88,14.57,957
14,5,0.75,train,6956.7,247.83,7.45,33.26,2309
14,5,0.75,validation,3265.3,63.26,7.1,8.908,1121
14,5,0.75,holdout,4295.0,114.75,7.88,14.57,957
14,6,0.75,train,6956.7,247.83,7.45,33.26,2309
14,6,0.75,validation,3265.3,63.26,7.1,8.908,1121
14,6,0.75,holdout,4295.0,114.75,7.88,14.57,957
16,3,0.75,train,6956.7,247.83,7.45,33.26,2309
16,3,0.75,validation,3265.3,63.26,7.1,8.908,1121
16,3,0.75,holdout,4295.0,114.75,7.88,14.57,957
16,4,0.75,train,6956.7,247.83,7.45,33.26,2309
16,4,0.75,validation,3265.3,63.26,7.1,8.908,1121
16,4,0.75,holdout,4295.0,114.75,7.88,14.57,957
16,5,0.75,train,6956.7,247.83,7.45,33.26,2309
16,5,0.75,validation,3265.3,63.26,7.1,8.908,1121
16,5,0.75,holdout,4295.0,114.75,7.88,14.57,957
16,6,0.75,train,6956.7,247.83,7.45,33.26,2309
16,6,0.75,validation,3265.3,63.26,7.1,8.908,1121
16,6,0.75,holdout,4295.0,114.75,7.88,14.57,957
20,3,0.75,train,6956.7,247.83,7.45,33.26,2309
20,3,0.75,validation,3265.3,63.26,7.1,8.908,1121
20,3,0.75,holdout,4295.0,114.75,7.88,14.57,957
20,4,0.75,train,6956.7,247.83,7.45,33.26,2309
20,4,0.75,validation,3265.3,63.26,7.1,8.908,1121
20,4,0.75,holdout,4295.0,114.75,7.88,14.57,957
20,5,0.75,train,6956.7,247.83,7.45,33.26,2309
20,5,0.75,validation,3265.3,63.26,7.1,8.908,1121
20,5,0.75,holdout,4295.0,114.75,7.88,14.57,957
20,6,0.75,train,6956.7,247.83,7.45,33.26,2309
20,6,0.75,validation,3265.3,63.26,7.1,8.908,1121
20,6,0.75,holdout,4295.0,114.75,7.88,14.57,957
8,3,0.8,train,6956.7,247.83,7.45,33.26,2309
8,3,0.8,validation,3265.3,63.26,7.1,8.908,1121
8,3,0.8,holdout,4295.0,114.75,7.88,14.57,957
8,4,0.8,train,6956.7,247.83,7.45,33.26,2309
8,4,0.8,validation,3265.3,63.26,7.1,8.908,1121
8,4,0.8,holdout,4295.0,114.75,7.88,14.57,957
8,5,0.8,train,6956.7,247.83,7.45,33.26,2309
8,5,0.8,validation,3265.3,63.26,7.1,8.908,1121
8,5,0.8,holdout,4295.0,114.75,7.88,14.57,957
8,6,0.8,train,6956.7,247.83,7.45,33.26,2309
8,6,0.8,validation,3265.3,63.26,7.1,8.908,1121
8,6,0.8,holdout,4295.0,114.75,7.88,14.57,957
10,3,0.8,train,6956.7,247.83,7.45,33.26,2309
10,3,0.8,validation,3265.3,63.26,7.1,8.908,1121
10,3,0.8,holdout,4295.0,114.75,7.88,14.57,957
10,4,0.8,train,6956.7,247.83,7.45,33.26,2309
10,4,0.8,validation,3265.3,63.26,7.1,8.908,1121
10,4,0.8,holdout,4295.0,114.75,7.88,14.57,957
10,5,0.8,train,6956.7,247.83,7.45,33.26,2309
10,5,0.8,validation,3265.3,63.26,7.1,8.908,1121
10,5,0.8,holdout,4295.0,114.75,7.88,14.57,957
10,6,0.8,train,6956.7,247.83,7.45,33.26,2309
