depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
0.65,2.0,3.0,2.095,1.6808,2.2194,176,438,220
0.6,2.0,6.0,2.2463,1.6783,2.3208,177,446,221
0.625,2.0,4.0,2.2507,1.6771,2.2404,176,442,220
0.45,2.5,7.0,2.1355,1.6732,1.7955,185,460,228
0.6,2.0,5.0,2.1699,1.6723,2.3195,177,446,221
0.45,2.5,6.0,2.0444,1.6698,1.7966,185,460,228
0.625,2.0,3.0,2.1268,1.6697,2.2393,176,442,220
0.65,2.0,2.0,1.9237,1.669,2.2168,176,438,220
0.7,2.5,7.0,2.8309,1.6677,2.6983,175,431,217
0.45,2.5,5.0,2.2241,1.6659,1.7983,185,460,228
0.6,2.0,4.0,2.0744,1.6644,2.3173,177,446,221
0.7,2.5,6.0,2.7741,1.6641,2.6989,175,431,217
0.65,2.5,1.0,1.8554,1.6639,2.5297,176,438,220
0.45,2.5,4.0,2.1069,1.6612,1.8009,185,460,228
0.7,2.5,5.0,2.7042,1.6594,2.6991,175,431,217
0.625,2.0,2.0,1.9519,1.6586,2.2367,176,442,220
0.625,1.5,1.0,1.3336,1.6585,2.2282,176,442,220
0.45,2.5,3.0,1.9627,1.6556,1.8055,185,460,228
0.6,2.0,3.0,1.9498,1.6532,2.3134,177,446,221
0.7,2.5,4.0,2.6151,1.6531,2.6989,175,431,217
0.65,2.0,1.0,1.634,1.6509,2.2097,176,438,220
0.55,5.0,3.0,2.9575,1.6503,3.5727,178,453,222
0.45,2.5,2.0,1.7727,1.6502,1.8154,185,460,228
0.7,2.5,3.0,2.4946,1.6442,2.6979,175,431,217
0.55,5.0,2.0,2.6908,1.6426,3.5801,178,453,222
0.625,2.0,1.0,1.6797,1.6424,2.2318,176,442,220
0.45,2.5,1.0,1.5605,1.638,1.8506,185,460,228
0.6,4.5,7.0,3.256,1.6368,3.5879,177,446,221
0.7,2.0,7.0,2.734,1.6366,2.6285,175,431,217
0.6,2.0,2.0,1.7783,1.6359,2.3065,177,446,221
0.6,4.5,6.0,3.1678,1.6345,3.5791,177,446,221
0.55,5.0,4.0,3.1207,1.6335,3.5733,178,453,222
0.6,4.5,5.0,3.0681,1.6323,3.568,177,446,221
0.7,2.0,6.0,2.6786,1.6322,2.6278,175,431,217
0.7,2.5,2.0,2.3185,1.6304,2.6953,175,431,217
0.6,4.5,4.0,2.9523,1.6303,3.5534,177,446,221
0.6,4.5,3.0,2.8106,1.6288,3.5328,177,446,221
0.55,5.0,5.0,3.2468,1.6283,3.5758,178,453,222
0.7,2.0,5.0,2.6103,1.6266,2.6265,175,431,217
