r_target,expiry_days,n,win_rate,avg_gross,avg_net,total_net,tf,split,depth_frac,n_zones
1.5,0.25,6013,0.443,0.5458,-0.8129,-4887.78,5m,train,0.3,8347
1.5,0.5,6013,0.433,0.455,-0.9049,-5441.3,5m,train,0.3,8347
1.5,0.75,6013,0.429,0.4204,-0.9396,-5649.56,5m,train,0.3,8347
1.5,1.0,6013,0.428,0.4007,-0.9593,-5768.13,5m,train,0.3,8347
1.5,1.5,6013,0.427,0.3779,-0.9821,-5905.18,5m,train,0.3,8347
1.5,2.0,6013,0.427,0.3645,-0.9954,-5985.54,5m,train,0.3,8347
2.0,0.25,6013,0.396,0.6431,-0.7124,-4283.44,5m,train,0.3,8347
2.0,0.5,6013,0.381,0.4993,-0.8606,-5174.61,5m,train,0.3,8347
2.0,0.75,6013,0.376,0.4457,-0.9142,-5497.29,5m,train,0.3,8347
2.0,1.0,6013,0.375,0.4161,-0.9439,-5675.78,5m,train,0.3,8347
2.0,1.5,6013,0.372,0.3821,-0.9779,-5880.19,5m,train,0.3,8347
2.0,2.0,6013,0.372,0.3622,-0.9977,-5999.39,5m,train,0.3,8347
2.5,0.25,6013,0.363,0.7488,-0.6013,-3615.91,5m,train,0.3,8347
2.5,0.5,6013,0.341,0.5597,-0.7998,-4809.3,5m,train,0.3,8347
2.5,0.75,6013,0.335,0.4891,-0.8708,-5235.96,5m,train,0.3,8347
2.5,1.0,6013,0.332,0.4501,-0.9097,-5470.24,5m,train,0.3,8347
2.5,1.5,6013,0.329,0.4035,-0.9565,-5751.45,5m,train,0.3,8347
2.5,2.0,6013,0.328,0.3768,-0.9831,-5911.66,5m,train,0.3,8347
3.0,0.25,6013,0.338,0.8331,-0.5104,-3069.16,5m,train,0.3,8347
3.0,0.5,6013,0.314,0.6157,-0.7431,-4468.32,5m,train,0.3,8347
3.0,0.75,6013,0.306,0.527,-0.8329,-5007.96,5m,train,0.3,8347
3.0,1.0,6013,0.302,0.4808,-0.8791,-5285.92,5m,train,0.3,8347
3.0,1.5,6013,0.298,0.4262,-0.9338,-5615.06,5m,train,0.3,8347
3.0,2.0,6013,0.296,0.395,-0.965,-5802.45,5m,train,0.3,8347
3.5,0.25,6013,0.323,0.924,-0.4107,-2469.38,5m,train,0.3,8347
3.5,0.5,6013,0.295,0.6867,-0.671,-4034.82,5m,train,0.3,8347
3.5,0.75,6013,0.285,0.5826,-0.7771,-4672.55,5m,train,0.3,8347
3.5,1.0,6013,0.279,0.5278,-0.832,-5002.81,5m,train,0.3,8347
3.5,1.5,6013,0.273,0.4635,-0.8965,-5390.9,5m,train,0.3,8347
3.5,2.0,6013,0.272,0.427,-0.933,-5610.23,5m,train,0.3,8347
4.0,0.25,6013,0.313,1.0135,-0.3105,-1867.29,5m,train,0.3,8347
4.0,0.5,6013,0.283,0.7704,-0.5846,-3515.31,5m,train,0.3,8347
4.0,0.75,6013,0.271,0.6564,-0.7024,-4223.78,5m,train,0.3,8347
4.0,1.0,6013,0.264,0.5947,-0.7648,-4598.66,5m,train,0.3,8347
4.0,1.5,6013,0.256,0.5207,-0.8392,-5046.05,5m,train,0.3,8347
4.0,2.0,6013,0.253,0.4753,-0.8847,-5319.56,5m,train,0.3,8347
4.5,0.25,6013,0.306,1.0812,-0.2333,-1402.94,5m,train,0.3,8347
4.5,0.5,6013,0.273,0.847,-0.505,-3036.77,5m,train,0.3,8347
4.5,0.75,6013,0.26,0.7238,-0.6341,-3812.81,5m,train,0.3,8347
4.5,1.0,6013,0.252,0.6527,-0.7064,-4247.37,5m,train,0.3,8347
4.5,1.5,6013,0.243,0.5684,-0.7912,-4757.78,5m,train,0.3,8347
4.5,2.0,6013,0.24,0.5179,-0.842,-5063.08,5m,train,0.3,8347
5.0,0.25,6013,0.302,1.149,-0.1559,-937.21,5m,train,0.3,8347
5.0,0.5,6013,0.267,0.9231,-0.4255,-2558.78,5m,train,0.3,8347
5.0,0.75,6013,0.252,0.7926,-0.5639,-3390.91,5m,train,0.3,8347
5.0,1.0,6013,0.244,0.7165,-0.6419,-3859.71,5m,train,0.3,8347
5.0,1.5,6013,0.233,0.6229,-0.7367,-4429.89,5m,train,0.3,8347
