r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
4.0,1.0,1573,0.269,-3.3588,-5283.35,15m,train,0.325,2354
4.0,1.5,1573,0.25,-4.614,-7257.83,15m,train,0.325,2354
4.0,2.0,1573,0.234,-5.6289,-8854.31,15m,train,0.325,2354
4.5,0.25,1573,0.379,-0.3491,-549.15,15m,train,0.325,2354
4.5,0.5,1573,0.302,-1.6232,-2553.22,15m,train,0.325,2354
4.5,0.75,1573,0.266,-2.5835,-4063.85,15m,train,0.325,2354
4.5,1.0,1573,0.248,-3.3565,-5279.82,15m,train,0.325,2354
4.5,1.5,1573,0.231,-4.6192,-7265.94,15m,train,0.325,2354
4.5,2.0,1573,0.219,-5.6587,-8901.13,15m,train,0.325,2354
5.0,0.25,1573,0.374,-0.284,-446.75,15m,train,0.325,2354
5.0,0.5,1573,0.296,-1.5133,-2380.39,15m,train,0.325,2354
5.0,0.75,1573,0.255,-2.464,-3875.91,15m,train,0.325,2354
5.0,1.0,1573,0.238,-3.235,-5088.71,15m,train,0.325,2354
5.0,1.5,1573,0.219,-4.4991,-7077.16,15m,train,0.325,2354
5.0,2.0,1573,0.209,-5.5498,-8729.84,15m,train,0.325,2354
1.5,0.25,1571,0.462,-1.3419,-2108.18,15m,train,0.35,2354
1.5,0.5,1571,0.368,-2.4717,-3883.06,15m,train,0.35,2354
1.5,0.75,1571,0.288,-3.2974,-5180.26,15m,train,0.35,2354
1.5,1.0,1571,0.216,-3.9961,-6277.86,15m,train,0.35,2354
1.5,1.5,1571,0.14,-5.1384,-8072.42,15m,train,0.35,2354
1.5,2.0,1571,0.096,-6.0944,-9574.23,15m,train,0.35,2354
2.0,0.25,1571,0.447,-1.1045,-1735.24,15m,train,0.35,2354
2.0,0.5,1571,0.377,-2.3144,-3635.96,15m,train,0.35,2354
2.0,0.75,1571,0.325,-3.1592,-4963.08,15m,train,0.35,2354
2.0,1.0,1571,0.27,-3.8801,-6095.65,15m,train,0.35,2354
2.0,1.5,1571,0.187,-5.0461,-7927.46,15m,train,0.35,2354
2.0,2.0,1571,0.144,-6.0149,-9449.41,15m,train,0.35,2354
2.5,0.25,1571,0.428,-0.841,-1321.29,15m,train,0.35,2354
2.5,0.5,1571,0.363,-2.1107,-3315.94,15m,train,0.35,2354
2.5,0.75,1571,0.328,-2.9706,-4666.79,15m,train,0.35,2354
2.5,1.0,1571,0.293,-3.6998,-5812.35,15m,train,0.35,2354
2.5,1.5,1571,0.239,-4.8761,-7660.28,15m,train,0.35,2354
2.5,2.0,1571,0.199,-5.8506,-9191.33,15m,train,0.35,2354
3.0,0.25,1571,0.41,-0.6211,-975.83,15m,train,0.35,2354
3.0,0.5,1571,0.348,-1.9014,-2987.03,15m,train,0.35,2354
3.0,0.75,1571,0.321,-2.8271,-4441.31,15m,train,0.35,2354
3.0,1.0,1571,0.293,-3.5712,-5610.37,15m,train,0.35,2354
3.0,1.5,1571,0.256,-4.7701,-7493.75,15m,train,0.35,2354
3.0,2.0,1571,0.222,-5.7571,-9044.37,15m,train,0.35,2354
3.5,0.25,1571,0.404,-0.4135,-649.64,15m,train,0.35,2354
3.5,0.5,1571,0.338,-1.6892,-2653.8,15m,train,0.35,2354
3.5,0.75,1571,0.305,-2.6418,-4150.24,15m,train,0.35,2354
3.5,1.0,1571,0.289,-3.3968,-5336.44,15m,train,0.35,2354
3.5,1.5,1571,0.264,-4.6049,-7234.32,15m,train,0.35,2354
3.5,2.0,1571,0.24,-5.6016,-8800.14,15m,train,0.35,2354
4.0,0.25,1571,0.39,-0.3529,-554.38,15m,train,0.35,2354
4.0,0.5,1571,0.323,-1.5922,-2501.33,15m,train,0.35,2354
4.0,0.75,1571,0.288,-2.5438,-3996.27,15m,train,0.35,2354
4.0,1.0,1571,0.272,-3.293,-5173.33,15m,train,0.35,2354
4.0,1.5,1571,0.254,-4.5437,-7138.08,15m,train,0.35,2354
4.0,2.0,1571,0.238,-5.5558,-8728.19,15m,train,0.35,2354
4.5,0.25,1571,0.38,-0.3377,-530.58,15m,train,0.35,2354
4.5,0.5,1571,0.304,-1.5881,-2494.91,15m,train,0.35,2354
4.5,0.75,1571,0.269,-2.5522,-4009.49,15m,train,0.35,2354
4.5,1.0,1571,0.251,-3.3251,-5223.75,15m,train,0.35,2354
4.5,1.5,1571,0.235,-4.5838,-7201.14,15m,train,0.35,2354
4.5,2.0,1571,0.222,-5.6217,-8831.64,15m,train,0.35,2354
5.0,0.25,1571,0.375,-0.2556,-401.56,15m,train,0.35,2354
5.0,0.5,1571,0.296,-1.4873,-2336.56,15m,train,0.35,2354
5.0,0.75,1571,0.258,-2.4377,-3829.6,15m,train,0.35,2354
5.0,1.0,1571,0.24,-3.2136,-5048.5,15m,train,0.35,2354
5.0,1.5,1571,0.221,-4.4687,-7020.29,15m,train,0.35,2354
5.0,2.0,1571,0.212,-5.5155,-8664.79,15m,train,0.35,2354
1.5,0.25,1566,0.461,-1.3629,-2134.37,15m,train,0.375,2354
1.5,0.5,1566,0.37,-2.4832,-3888.65,15m,train,0.375,2354
1.5,0.75,1566,0.283,-3.3056,-5176.54,15m,train,0.375,2354
1.5,1.0,1566,0.211,-4.0026,-6268.12,15m,train,0.375,2354
1.5,1.5,1566,0.133,-5.143,-8053.92,15m,train,0.375,2354
1.5,2.0,1566,0.09,-6.0977,-9548.96,15m,train,0.375,2354
2.0,0.25,1566,0.449,-1.1274,-1765.47,15m,train,0.375,2354
2.0,0.5,1566,0.378,-2.3178,-3629.68,15m,train,0.375,2354
2.0,0.75,1566,0.322,-3.1591,-4947.21,15m,train,0.375,2354
2.0,1.0,1566,0.267,-3.878,-6072.95,15m,train,0.375,2354
2.0,1.5,1566,0.186,-5.0419,-7895.67,15m,train,0.375,2354
2.0,2.0,1566,0.139,-6.0094,-9410.65,15m,train,0.375,2354
2.5,0.25,1566,0.425,-0.8966,-1404.03,15m,train,0.375,2354
2.5,0.5,1566,0.365,-2.1739,-3404.3,15m,train,0.375,2354
2.5,0.75,1566,0.33,-3.0329,-4749.52,15m,train,0.375,2354
2.5,1.0,1566,0.295,-3.7621,-5891.51,15m,train,0.375,2354
2.5,1.5,1566,0.238,-4.9386,-7733.83,15m,train,0.375,2354
2.5,2.0,1566,0.196,-5.9132,-9260.02,15m,train,0.375,2354
3.0,0.25,1566,0.412,-0.6689,-1047.57,15m,train,0.375,2354
3.0,0.5,1566,0.349,-1.9683,-3082.43,15m,train,0.375,2354
3.0,0.75,1566,0.32,-2.896,-4535.2,15m,train,0.375,2354
3.0,1.0,1566,0.292,-3.6415,-5702.62,15m,train,0.375,2354
3.0,1.5,1566,0.25,-4.8417,-7582.17,15m,train,0.375,2354
3.0,2.0,1566,0.218,-5.8294,-9128.85,15m,train,0.375,2354
3.5,0.25,1566,0.405,-0.4412,-690.88,15m,train,0.375,2354
3.5,0.5,1566,0.339,-1.7346,-2716.45,15m,train,0.375,2354
3.5,0.75,1566,0.305,-2.6927,-4216.7,15m,train,0.375,2354
3.5,1.0,1566,0.289,-3.4544,-5409.53,15m,train,0.375,2354
3.5,1.5,1566,0.262,-4.6705,-7314.01,15m,train,0.375,2354
3.5,2.0,1566,0.238,-5.6665,-8873.74,15m,train,0.375,2354
4.0,0.25,1566,0.392,-0.369,-577.84,15m,train,0.375,2354
4.0,0.5,1566,0.324,-1.6256,-2545.65,15m,train,0.375,2354
4.0,0.75,1566,0.289,-2.5678,-4021.15,15m,train,0.375,2354
4.0,1.0,1566,0.273,-3.3137,-5189.3,15m,train,0.375,2354
4.0,1.5,1566,0.254,-4.536,-7103.34,15m,train,0.375,2354
4.0,2.0,1566,0.239,-5.54,-8675.7,15m,train,0.375,2354
4.5,0.25,1566,0.383,-0.3464,-542.39,15m,train,0.375,2354
4.5,0.5,1566,0.305,-1.618,-2533.82,15m,train,0.375,2354
4.5,0.75,1566,0.268,-2.5792,-4039.01,15m,train,0.375,2354
4.5,1.0,1566,0.253,-3.3337,-5220.56,15m,train,0.375,2354
4.5,1.5,1566,0.236,-4.57,-7156.58,15m,train,0.375,2354
4.5,2.0,1566,0.225,-5.5837,-8744.09,15m,train,0.375,2354
5.0,0.25,1566,0.376,-0.3027,-474.03,15m,train,0.375,2354
5.0,0.5,1566,0.296,-1.5796,-2473.68,15m,train,0.375,2354
5.0,0.75,1566,0.256,-2.5354,-3970.47,15m,train,0.375,2354
5.0,1.0,1566,0.239,-3.315,-5191.37,15m,train,0.375,2354
5.0,1.5,1566,0.22,-4.5585,-7138.6,15m,train,0.375,2354
5.0,2.0,1566,0.211,-5.603,-8774.33,15m,train,0.375,2354
1.5,0.25,1563,0.463,-1.3412,-2096.24,15m,train,0.4,2354
1.5,0.5,1563,0.37,-2.4543,-3836.06,15m,train,0.4,2354
1.5,0.75,1563,0.282,-3.2738,-5116.93,15m,train,0.4,2354
1.5,1.0,1563,0.21,-3.9574,-6185.48,15m,train,0.4,2354
1.5,1.5,1563,0.135,-5.094,-7961.92,15m,train,0.4,2354
1.5,2.0,1563,0.091,-6.0466,-9450.88,15m,train,0.4,2354
2.0,0.25,1563,0.448,-1.158,-1809.95,15m,train,0.4,2354
2.0,0.5,1563,0.376,-2.3402,-3657.72,15m,train,0.4,2354
2.0,0.75,1563,0.32,-3.1799,-4970.2,15m,train,0.4,2354
2.0,1.0,1563,0.266,-3.8972,-6091.3,15m,train,0.4,2354
2.0,1.5,1563,0.181,-5.0593,-7907.69,15m,train,0.4,2354
2.0,2.0,1563,0.136,-6.0255,-9417.86,15m,train,0.4,2354
2.5,0.25,1563,0.424,-0.9472,-1480.55,15m,train,0.4,2354
2.5,0.5,1563,0.365,-2.2124,-3458.02,15m,train,0.4,2354
2.5,0.75,1563,0.329,-3.0704,-4798.99,15m,train,0.4,2354
2.5,1.0,1563,0.298,-3.7984,-5936.84,15m,train,0.4,2354
2.5,1.5,1563,0.237,-4.9735,-7773.59,15m,train,0.4,2354
2.5,2.0,1563,0.189,-5.9472,-9295.44,15m,train,0.4,2354
3.0,0.25,1563,0.41,-0.7231,-1130.18,15m,train,0.4,2354
3.0,0.5,1563,0.35,-1.9961,-3119.85,15m,train,0.4,2354
3.0,0.75,1563,0.32,-2.8965,-4527.16,15m,train,0.4,2354
3.0,1.0,1563,0.294,-3.6383,-5686.68,15m,train,0.4,2354
3.0,1.5,1563,0.25,-4.8335,-7554.8,15m,train,0.4,2354
3.0,2.0,1563,0.214,-5.818,-9093.47,15m,train,0.4,2354
3.5,0.25,1563,0.404,-0.4817,-752.91,15m,train,0.4,2354
3.5,0.5,1563,0.34,-1.7559,-2744.54,15m,train,0.4,2354
3.5,0.75,1563,0.305,-2.7146,-4242.89,15m,train,0.4,2354
3.5,1.0,1563,0.29,-3.4715,-5425.98,15m,train,0.4,2354
3.5,1.5,1563,0.264,-4.6825,-7318.69,15m,train,0.4,2354
3.5,2.0,1563,0.236,-5.6755,-8870.76,15m,train,0.4,2354
4.0,0.25,1563,0.392,-0.3728,-582.69,15m,train,0.4,2354
4.0,0.5,1563,0.326,-1.6599,-2594.4,15m,train,0.4,2354
4.0,0.75,1563,0.289,-2.6146,-4086.67,15m,train,0.4,2354
4.0,1.0,1563,0.276,-3.3649,-5259.28,15m,train,0.4,2354
4.0,1.5,1563,0.256,-4.5774,-7154.4,15m,train,0.4,2354
4.0,2.0,1563,0.24,-5.578,-8718.37,15m,train,0.4,2354
4.5,0.25,1563,0.382,-0.3739,-584.35,15m,train,0.4,2354
4.5,0.5,1563,0.306,-1.6593,-2593.48,15m,train,0.4,2354
4.5,0.75,1563,0.266,-2.6164,-4089.5,15m,train,0.4,2354
4.5,1.0,1563,0.254,-3.373,-5271.92,15m,train,0.4,2354
4.5,1.5,1563,0.237,-4.61,-7205.35,15m,train,0.4,2354
4.5,2.0,1563,0.226,-5.6227,-8788.22,15m,train,0.4,2354
5.0,0.25,1563,0.376,-0.3065,-478.99,15m,train,0.4,2354
5.0,0.5,1563,0.298,-1.5912,-2487.09,15m,train,0.4,2354
5.0,0.75,1563,0.255,-2.5423,-3973.64,15m,train,0.4,2354
5.0,1.0,1563,0.241,-3.3226,-5193.27,15m,train,0.4,2354
5.0,1.5,1563,0.221,-4.5709,-7144.39,15m,train,0.4,2354
5.0,2.0,1563,0.212,-5.6118,-8771.17,15m,train,0.4,2354
1.5,0.25,1557,0.457,-1.3394,-2085.39,15m,train,0.425,2354
1.5,0.5,1557,0.368,-2.4468,-3809.74,15m,train,0.425,2354
1.5,0.75,1557,0.283,-3.2644,-5082.73,15m,train,0.425,2354
1.5,1.0,1557,0.21,-3.947,-6145.51,15m,train,0.425,2354
1.5,1.5,1557,0.13,-5.0824,-7913.31,15m,train,0.425,2354
1.5,2.0,1557,0.089,-6.0344,-9395.55,15m,train,0.425,2354
2.0,0.25,1557,0.451,-1.1744,-1828.6,15m,train,0.425,2354
2.0,0.5,1557,0.374,-2.3545,-3665.9,15m,train,0.425,2354
2.0,0.75,1557,0.317,-3.1926,-4970.88,15m,train,0.425,2354
2.0,1.0,1557,0.261,-3.9093,-6086.77,15m,train,0.425,2354
2.0,1.5,1557,0.175,-5.0707,-7895.15,15m,train,0.425,2354
2.0,2.0,1557,0.132,-6.0365,-9398.82,15m,train,0.425,2354
2.5,0.25,1557,0.425,-0.9632,-1499.69,15m,train,0.425,2354
2.5,0.5,1557,0.365,-2.2257,-3465.43,15m,train,0.425,2354
2.5,0.75,1557,0.33,-3.0828,-4799.87,15m,train,0.425,2354
2.5,1.0,1557,0.296,-3.8089,-5930.46,15m,train,0.425,2354
2.5,1.5,1557,0.232,-4.982,-7757.02,15m,train,0.425,2354
2.5,2.0,1557,0.188,-5.9545,-9271.14,15m,train,0.425,2354
3.0,0.25,1557,0.414,-0.7141,-1111.89,15m,train,0.425,2354
3.0,0.5,1557,0.351,-1.987,-3093.78,15m,train,0.425,2354
3.0,0.75,1557,0.322,-2.8648,-4460.49,15m,train,0.425,2354
3.0,1.0,1557,0.297,-3.6013,-5607.23,15m,train,0.425,2354
3.0,1.5,1557,0.249,-4.7904,-7458.72,15m,train,0.425,2354
3.0,2.0,1557,0.218,-5.7715,-8986.17,15m,train,0.425,2354
3.5,0.25,1557,0.404,-0.4884,-760.45,15m,train,0.425,2354
3.5,0.5,1557,0.339,-1.7582,-2737.57,15m,train,0.425,2354
3.5,0.75,1557,0.305,-2.7134,-4224.74,15m,train,0.425,2354
3.5,1.0,1557,0.291,-3.4643,-5393.94,15m,train,0.425,2354
3.5,1.5,1557,0.264,-4.6696,-7270.51,15m,train,0.425,2354
3.5,2.0,1557,0.237,-5.6595,-8811.8,15m,train,0.425,2354
4.0,0.25,1557,0.394,-0.3799,-591.5,15m,train,0.425,2354
4.0,0.5,1557,0.325,-1.6693,-2599.08,15m,train,0.425,2354
4.0,0.75,1557,0.288,-2.619,-4077.84,15m,train,0.425,2354
4.0,1.0,1557,0.275,-3.3851,-5270.56,15m,train,0.425,2354
4.0,1.5,1557,0.257,-4.6021,-7165.48,15m,train,0.425,2354
4.0,2.0,1557,0.241,-5.6024,-8722.99,15m,train,0.425,2354
4.5,0.25,1557,0.384,-0.3631,-565.32,15m,train,0.425,2354
4.5,0.5,1557,0.306,-1.6229,-2526.85,15m,train,0.425,2354
