kind,tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
BB,15m,0.65,3.0,0.083,0.925,2.1402,2.9547,132,383,190
BB,15m,0.325,4.0,0.083,1.515,2.1392,2.9666,132,403,197
BB,15m,0.675,4.0,0.125,1.1327,2.1355,3.3692,128,379,191
BB,15m,0.45,10.0,0.125,1.2407,2.1351,3.345,137,394,190
BB,15m,0.65,5.0,0.125,0.6758,2.1351,3.3061,132,383,190
BB,15m,0.35,4.0,0.125,1.3853,2.133,3.5423,134,403,195
BB,15m,0.45,4.0,0.083,0.6995,2.1316,2.7494,137,394,190
BB,15m,0.675,10.0,0.125,1.0928,2.1307,3.3825,128,379,191
BB,15m,0.375,2.0,0.083,1.4185,2.1296,2.9654,130,401,194
BB,15m,0.625,10.0,0.125,0.6128,2.1288,3.076,132,388,189
BB,15m,0.4,4.0,0.083,0.9016,2.1272,3.2346,133,402,191
BB,15m,0.55,4.0,0.125,0.3782,2.1212,3.3581,132,395,191
BB,15m,0.325,5.0,0.083,1.4191,2.1197,2.9506,132,403,197
BB,15m,0.5,10.0,0.125,1.4342,2.1182,3.4812,134,397,190
BB,15m,0.7,4.0,0.125,1.0553,2.1121,3.4404,129,374,191
BB,15m,0.475,3.0,0.083,0.9051,2.1119,2.7899,136,395,189
BB,15m,0.425,5.0,0.083,0.8586,2.1061,2.9658,135,400,191
BB,15m,0.625,3.0,0.125,0.7128,2.1061,2.5826,132,388,189
BB,15m,0.35,2.0,0.083,0.9395,2.1051,2.7351,134,403,195
BB,15m,0.575,3.0,0.125,0.6903,2.1046,2.8703,132,397,191
BB,15m,0.4,2.0,0.125,1.2378,2.1027,2.8807,133,402,191
BB,15m,0.6,10.0,0.125,0.5616,2.1023,3.0203,131,392,191
BB,15m,0.375,5.0,0.083,1.6939,2.1016,3.1568,130,401,194
BB,15m,0.55,7.0,0.125,0.3832,2.0989,3.3964,132,395,191
BB,15m,0.675,2.0,0.083,1.1317,2.0981,3.0613,128,379,191
BB,15m,0.3,3.0,0.083,2.4915,2.0955,2.9795,134,402,199
BB,15m,0.7,7.0,0.125,0.9818,2.0941,3.5604,129,374,191
BB,15m,0.55,5.0,0.125,0.3887,2.0937,3.3832,132,395,191
BB,15m,0.55,2.0,0.125,0.4693,2.0922,2.2839,132,395,191
BB,15m,0.45,5.0,0.083,0.7785,2.092,2.5699,137,394,190
BB,15m,0.525,3.0,0.083,0.9844,2.0889,2.848,134,392,189
BB,15m,0.35,3.0,0.083,0.9937,2.0876,3.1223,134,403,195
BB,15m,0.55,10.0,0.125,0.4025,2.0869,3.4114,132,395,191
BB,15m,0.7,7.0,0.083,1.2746,2.0863,3.1728,129,374,191
BB,15m,0.4,2.0,0.083,0.6473,2.0856,3.0077,133,402,191
BB,15m,0.625,4.0,0.083,0.8589,2.0848,3.0113,132,388,189
BB,15m,0.4,7.0,0.083,0.7089,2.0825,3.1318,133,402,191
BB,15m,0.5,3.0,0.125,1.4003,2.0781,3.2845,134,397,190
BB,15m,0.4,10.0,0.083,0.7094,2.0778,3.1318,133,402,191
BB,15m,0.7,10.0,0.083,1.2806,2.0777,3.1885,129,374,191
BB,15m,0.325,7.0,0.083,1.2921,2.0774,2.9674,132,403,197
BB,15m,0.475,10.0,0.125,1.4009,2.0773,3.518,136,395,189
BB,15m,0.525,4.0,0.083,1.1331,2.0745,2.9845,134,392,189
BB,15m,0.65,5.0,0.083,1.0104,2.0744,3.2904,132,383,190
BB,15m,0.55,3.0,0.125,0.2798,2.0739,3.0041,132,395,191
BB,15m,0.325,10.0,0.083,1.2926,2.0723,2.9674,132,403,197
BB,15m,0.7,10.0,0.125,1.0089,2.0709,3.6201,129,374,191
BB,15m,0.375,4.0,0.083,1.6787,2.0706,3.1882,130,401,194
BB,15m,0.45,2.0,0.125,1.0076,2.0702,2.6767,137,394,190
BB,15m,0.575,3.0,0.083,0.7436,2.0684,2.6522,132,397,191
BB,15m,0.425,4.0,0.083,0.8112,2.0634,3.0953,135,400,191
BB,15m,0.375,2.0,0.125,1.9946,2.0583,2.7702,130,401,194
BB,15m,0.575,4.0,0.083,0.807,2.0559,2.7965,132,397,191
BB,15m,0.3,4.0,0.083,2.4193,2.0555,2.9341,134,402,199
BB,15m,0.65,10.0,0.125,0.7237,2.0542,3.2042,132,383,190
BB,15m,0.575,2.0,0.125,0.9543,2.0479,2.6807,132,397,191
BB,15m,0.425,2.0,0.125,0.9419,2.0477,2.8595,135,400,191
BB,15m,0.625,2.0,0.125,0.7182,2.0469,2.7575,132,388,189
BB,15m,0.35,7.0,0.125,1.2237,2.0468,3.5977,134,403,195
BB,15m,0.35,10.0,0.125,1.2311,2.0449,3.5982,134,403,195
BB,15m,0.3,5.0,0.083,2.2138,2.0431,2.9151,134,402,199
BB,15m,0.525,2.0,0.125,1.2997,2.043,2.7504,134,392,189
BB,15m,0.55,3.0,0.083,0.5443,2.0406,2.6216,132,395,191
BB,15m,0.475,4.0,0.083,0.983,2.0399,2.8368,136,395,189
BB,15m,0.475,2.0,0.083,0.8177,2.0376,2.5458,136,395,189
BB,15m,0.5,3.0,0.083,1.1775,2.0322,2.7838,134,397,190
BB,15m,0.425,7.0,0.083,0.6464,2.0306,2.9861,135,400,191
BB,15m,0.525,2.0,0.083,1.1309,2.0297,2.4747,134,392,189
BB,15m,0.5,2.0,0.125,1.6137,2.0273,2.6271,134,397,190
BB,15m,0.425,10.0,0.083,0.6469,2.0259,2.9861,135,400,191
BB,15m,0.425,2.0,0.083,0.5174,2.0238,2.8663,135,400,191
