r_target,expiry_days,n,win_rate,avg_gross,avg_net,total_net,tf,split,depth_frac,n_zones
2.0,1.5,1179,0.423,0.7101,-1.0614,-1251.38,10m,validation,0.4,1381
2.0,2.0,1179,0.422,0.7043,-1.0672,-1258.24,10m,validation,0.4,1381
2.5,0.25,1179,0.414,0.9672,-0.7898,-931.2,10m,validation,0.4,1381
2.5,0.5,1179,0.396,0.8232,-0.9474,-1116.96,10m,validation,0.4,1381
2.5,0.75,1179,0.388,0.775,-0.9964,-1174.79,10m,validation,0.4,1381
2.5,1.0,1179,0.384,0.7536,-1.0179,-1200.05,10m,validation,0.4,1381
2.5,1.5,1179,0.379,0.7313,-1.0402,-1226.38,10m,validation,0.4,1381
2.5,2.0,1179,0.378,0.7193,-1.0522,-1240.56,10m,validation,0.4,1381
3.0,0.25,1179,0.389,1.1245,-0.6222,-733.56,10m,validation,0.4,1381
3.0,0.5,1179,0.367,0.9331,-0.8373,-987.22,10m,validation,0.4,1381
3.0,0.75,1179,0.358,0.8716,-0.8998,-1060.9,10m,validation,0.4,1381
3.0,1.0,1179,0.352,0.8428,-0.9286,-1094.84,10m,validation,0.4,1381
3.0,1.5,1179,0.345,0.8122,-0.9592,-1130.92,10m,validation,0.4,1381
3.0,2.0,1179,0.344,0.7955,-0.976,-1150.66,10m,validation,0.4,1381
3.5,0.25,1179,0.373,1.2285,-0.5093,-600.42,10m,validation,0.4,1381
3.5,0.5,1179,0.348,1.0094,-0.7597,-895.67,10m,validation,0.4,1381
3.5,0.75,1179,0.338,0.9424,-0.8281,-976.36,10m,validation,0.4,1381
3.5,1.0,1179,0.331,0.9078,-0.8636,-1018.15,10m,validation,0.4,1381
3.5,1.5,1179,0.323,0.8705,-0.9009,-1062.14,10m,validation,0.4,1381
3.5,2.0,1179,0.322,0.85,-0.9214,-1086.35,10m,validation,0.4,1381
4.0,0.25,1179,0.362,1.3229,-0.4003,-472.01,10m,validation,0.4,1381
4.0,0.5,1179,0.332,1.095,-0.6707,-790.73,10m,validation,0.4,1381
4.0,0.75,1179,0.322,1.0094,-0.7603,-896.39,10m,validation,0.4,1381
4.0,1.0,1179,0.316,0.9663,-0.8047,-948.8,10m,validation,0.4,1381
4.0,1.5,1179,0.306,0.9202,-0.8512,-1003.54,10m,validation,0.4,1381
4.0,2.0,1179,0.304,0.8949,-0.8764,-1033.32,10m,validation,0.4,1381
4.5,0.25,1179,0.354,1.4302,-0.2764,-325.86,10m,validation,0.4,1381
4.5,0.5,1179,0.321,1.1955,-0.5656,-666.88,10m,validation,0.4,1381
4.5,0.75,1179,0.31,1.085,-0.6841,-806.54,10m,validation,0.4,1381
4.5,1.0,1179,0.303,1.0342,-0.7369,-868.82,10m,validation,0.4,1381
4.5,1.5,1179,0.293,0.9805,-0.791,-932.62,10m,validation,0.4,1381
4.5,2.0,1179,0.29,0.951,-0.8205,-967.36,10m,validation,0.4,1381
5.0,0.25,1179,0.346,1.4047,-0.2921,-344.34,10m,validation,0.4,1381
5.0,0.5,1179,0.31,1.1771,-0.5822,-686.36,10m,validation,0.4,1381
5.0,0.75,1179,0.299,1.0793,-0.6883,-811.47,10m,validation,0.4,1381
5.0,1.0,1179,0.289,1.0158,-0.755,-890.12,10m,validation,0.4,1381
5.0,1.5,1179,0.278,0.9543,-0.8171,-963.38,10m,validation,0.4,1381
5.0,2.0,1179,0.276,0.9227,-0.8487,-1000.67,10m,validation,0.4,1381
1.5,0.25,1178,0.486,0.8522,-0.9143,-1077.07,10m,validation,0.425,1381
1.5,0.5,1178,0.476,0.8195,-0.9521,-1121.61,10m,validation,0.425,1381
1.5,0.75,1178,0.473,0.8153,-0.9563,-1126.52,10m,validation,0.425,1381
1.5,1.0,1178,0.472,0.8144,-0.9572,-1127.6,10m,validation,0.425,1381
1.5,1.5,1178,0.467,0.8149,-0.9568,-1127.11,10m,validation,0.425,1381
1.5,2.0,1178,0.466,0.8158,-0.9558,-1125.95,10m,validation,0.425,1381
2.0,0.25,1178,0.451,0.8544,-0.9097,-1071.67,10m,validation,0.425,1381
2.0,0.5,1178,0.44,0.7891,-0.9823,-1157.09,10m,validation,0.425,1381
2.0,0.75,1178,0.437,0.7705,-1.0011,-1179.34,10m,validation,0.425,1381
2.0,1.0,1178,0.436,0.7615,-1.0101,-1189.95,10m,validation,0.425,1381
2.0,1.5,1178,0.431,0.7527,-1.019,-1200.36,10m,validation,0.425,1381
2.0,2.0,1178,0.43,0.7483,-1.0234,-1205.56,10m,validation,0.425,1381
2.5,0.25,1178,0.415,0.9074,-0.852,-1003.68,10m,validation,0.425,1381
2.5,0.5,1178,0.397,0.766,-1.005,-1183.92,10m,validation,0.425,1381
2.5,0.75,1178,0.39,0.7182,-1.0534,-1240.93,10m,validation,0.425,1381
2.5,1.0,1178,0.388,0.697,-1.0746,-1265.91,10m,validation,0.425,1381
2.5,1.5,1178,0.38,0.6749,-1.0967,-1291.95,10m,validation,0.425,1381
2.5,2.0,1178,0.379,0.663,-1.1087,-1305.99,10m,validation,0.425,1381
3.0,0.25,1178,0.39,1.0753,-0.6731,-792.93,10m,validation,0.425,1381
3.0,0.5,1178,0.367,0.8999,-0.8707,-1025.72,10m,validation,0.425,1381
3.0,0.75,1178,0.357,0.8419,-0.9297,-1095.16,10m,validation,0.425,1381
3.0,1.0,1178,0.353,0.8151,-0.9565,-1126.76,10m,validation,0.425,1381
3.0,1.5,1178,0.344,0.7867,-0.9849,-1160.25,10m,validation,0.425,1381
3.0,2.0,1178,0.343,0.7712,-1.0005,-1178.55,10m,validation,0.425,1381
3.5,0.25,1178,0.374,1.1523,-0.5884,-693.19,10m,validation,0.425,1381
3.5,0.5,1178,0.346,0.9309,-0.8398,-989.34,10m,validation,0.425,1381
3.5,0.75,1178,0.335,0.8597,-0.9119,-1074.17,10m,validation,0.425,1381
3.5,1.0,1178,0.331,0.8257,-0.9458,-1114.21,10m,validation,0.425,1381
3.5,1.5,1178,0.321,0.7893,-0.9823,-1157.15,10m,validation,0.425,1381
3.5,2.0,1178,0.32,0.7692,-1.0024,-1180.84,10m,validation,0.425,1381
4.0,0.25,1178,0.362,1.2431,-0.4838,-569.93,10m,validation,0.425,1381
4.0,0.5,1178,0.33,1.0155,-0.7519,-885.79,10m,validation,0.425,1381
4.0,0.75,1178,0.319,0.936,-0.8342,-982.71,10m,validation,0.425,1381
4.0,1.0,1178,0.315,0.8953,-0.8763,-1032.24,10m,validation,0.425,1381
4.0,1.5,1178,0.304,0.8515,-0.9201,-1083.91,10m,validation,0.425,1381
4.0,2.0,1178,0.302,0.8272,-0.9444,-1112.47,10m,validation,0.425,1381
4.5,0.25,1178,0.354,1.3678,-0.344,-405.21,10m,validation,0.425,1381
4.5,0.5,1178,0.318,1.1153,-0.6485,-763.93,10m,validation,0.425,1381
4.5,0.75,1178,0.307,1.0207,-0.7488,-882.07,10m,validation,0.425,1381
4.5,1.0,1178,0.302,0.9724,-0.7988,-941.01,10m,validation,0.425,1381
4.5,1.5,1178,0.289,0.9204,-0.8512,-1002.7,10m,validation,0.425,1381
4.5,2.0,1178,0.287,0.8916,-0.88,-1036.64,10m,validation,0.425,1381
5.0,0.25,1178,0.349,1.4011,-0.3,-353.34,10m,validation,0.425,1381
5.0,0.5,1178,0.311,1.1707,-0.5905,-695.58,10m,validation,0.425,1381
5.0,0.75,1178,0.299,1.0864,-0.6812,-802.49,10m,validation,0.425,1381
5.0,1.0,1178,0.293,1.0244,-0.7466,-879.45,10m,validation,0.425,1381
5.0,1.5,1178,0.278,0.9631,-0.8085,-952.47,10m,validation,0.425,1381
5.0,2.0,1178,0.276,0.9312,-0.8404,-990.04,10m,validation,0.425,1381
1.5,0.25,1173,0.481,0.7783,-0.9899,-1161.16,10m,validation,0.45,1381
1.5,0.5,1173,0.471,0.7509,-1.0219,-1198.66,10m,validation,0.45,1381
1.5,0.75,1173,0.47,0.7488,-1.024,-1201.17,10m,validation,0.45,1381
1.5,1.0,1173,0.469,0.749,-1.0238,-1200.93,10m,validation,0.45,1381
1.5,1.5,1173,0.466,0.7507,-1.0222,-1199.02,10m,validation,0.45,1381
1.5,2.0,1173,0.465,0.7523,-1.0206,-1197.14,10m,validation,0.45,1381
2.0,0.25,1173,0.446,0.7785,-0.9873,-1158.1,10m,validation,0.45,1381
2.0,0.5,1173,0.436,0.7164,-1.0562,-1238.87,10m,validation,0.45,1381
2.0,0.75,1173,0.434,0.7002,-1.0726,-1258.18,10m,validation,0.45,1381
2.0,1.0,1173,0.433,0.6925,-1.0803,-1267.21,10m,validation,0.45,1381
2.0,1.5,1173,0.429,0.6851,-1.0877,-1275.88,10m,validation,0.45,1381
2.0,2.0,1173,0.428,0.6815,-1.0913,-1280.11,10m,validation,0.45,1381
2.5,0.25,1173,0.413,0.8392,-0.9222,-1081.69,10m,validation,0.45,1381
2.5,0.5,1173,0.398,0.7216,-1.0505,-1232.29,10m,validation,0.45,1381
2.5,0.75,1173,0.393,0.6771,-1.0957,-1285.28,10m,validation,0.45,1381
2.5,1.0,1173,0.391,0.6577,-1.1151,-1308.01,10m,validation,0.45,1381
2.5,1.5,1173,0.383,0.6377,-1.1352,-1331.55,10m,validation,0.45,1381
2.5,2.0,1173,0.382,0.6269,-1.146,-1344.2,10m,validation,0.45,1381
