ts_ms,open,high,low,close,volume,turnover
1780167600000,2026.67,2028.56,2023.73,2028.05,16530.58,0
1780171200000,2028.05,2029.38,2024.89,2026.46,18335.74,0
1780174800000,2026.46,2030.77,2026.45,2027.54,13335.38,0
1780178400000,2027.54,2027.54,2019.4,2022.46,12719.84,0
1780182000000,2022.46,2025.5,2018.91,2021.49,12493.44,0
1780185600000,2021.49,2027.2,2019.31,2026.21,12448.57,0
1780189200000,2026.21,2033.46,2025.84,2028.2,25180.55,0
1780192800000,2028.2,2037.78,2026.75,2033.29,29938.92,0
1780196400000,2033.29,2036.74,2031.07,2032.56,16757.43,0
1780200000000,2032.56,2034.04,2030.23,2032.73,6179.82,0
1780203600000,2032.73,2033.3,2028.53,2029.26,8530.2,0
1780207200000,2029.26,2030.02,2027.4,2028.71,11377.38,0
1780210800000,2028.71,2028.71,2021.68,2023.11,17413.31,0
1780214400000,2023.11,2028.27,2021.72,2026.65,14929.26,0
1780218000000,2026.65,2027.44,2016.53,2020.18,20110.06,0
1780221600000,2020.18,2020.77,2014.47,2020.02,26678.38,0
1780225200000,2020.02,2023.47,2020.0,2022.19,10619.81,0
1780228800000,2022.19,2024.14,2018.18,2021.45,10388.26,0
1780232400000,2021.45,2025.9,2018.56,2019.32,12038.26,0
1780236000000,2019.32,2020.58,2004.39,2006.77,115108.64,0
1780239600000,2006.77,2014.39,2006.25,2009.31,32472.89,0
1780243200000,2009.31,2011.47,1995.71,2001.15,53568.53,0
1780246800000,2001.15,2007.1,1995.63,2005.12,39173.38,0
1780250400000,2005.12,2005.34,1997.76,1999.64,25757.84,0
1780254000000,1999.64,2001.73,1992.77,1998.73,23573.37,0
1780257600000,1998.73,2008.34,1998.73,2006.59,29983.45,0
1780261200000,2006.59,2013.88,2004.3,2011.51,43134.77,0
1780264800000,2011.51,2013.68,2003.67,2011.86,22221.89,0
1780268400000,2011.86,2022.36,1998.84,2006.27,46878.91,0
1780272000000,2006.27,2020.93,2005.36,2014.8,41115.84,0
1780275600000,2014.8,2016.07,1992.89,1993.83,40208.57,0
1780279200000,1993.83,2016.86,1989.6,2010.39,49626.05,0
1780282800000,2010.39,2017.4,2007.58,2008.31,22501.62,0
1780286400000,2008.31,2011.24,1993.0,1998.95,47678.81,0
1780290000000,1998.95,2000.6,1990.64,1993.67,24759.46,0
1780293600000,1993.67,1994.44,1979.14,1986.9,80746.6,0
1780297200000,1986.9,1989.64,1970.47,1975.23,79603.46,0
1780300800000,1975.23,1984.41,1970.83,1983.11,55269.18,0
1780304400000,1983.11,1989.4,1982.85,1986.89,38814.87,0
1780308000000,1986.89,1988.2,1980.07,1983.69,26282.2,0
1780311600000,1983.69,1986.3,1976.43,1980.7,41519.58,0
1780315200000,1980.7,1994.0,1966.16,1988.73,128941.37,0
1780318800000,1988.73,1989.65,1955.03,1970.23,213388.24,0
1780322400000,1970.23,1976.82,1963.7,1967.84,77888.99,0
1780326000000,1967.84,1980.25,1959.28,1967.54,80559.44,0
1780329600000,1967.54,1978.19,1957.66,1977.4,64347.39,0
1780333200000,1977.4,1996.46,1976.91,1989.83,99411.28,0
1780336800000,1989.83,1995.06,1982.38,1991.85,27075.01,0
1780340400000,1991.85,2008.32,1991.1,2003.79,58487.91,0
1780344000000,2003.79,2007.75,2000.1,2004.99,24036.07,0
1780347600000,2004.99,2008.67,1991.33,1993.48,53320.49,0
1780351200000,1993.48,2005.6,1982.73,2003.71,67836.12,0
1780354800000,2003.71,2008.05,1997.27,2005.92,28778.66,0
1780358400000,2005.92,2006.39,1994.56,1995.73,20273.24,0
1780362000000,1995.73,1998.58,1978.28,1979.35,51894.84,0
1780365600000,1979.35,1996.3,1961.0,1996.05,106836.41,0
1780369200000,1996.05,2004.21,1993.92,2003.1,33970.58,0
1780372800000,2003.1,2005.71,1994.83,1995.95,44212.12,0
1780376400000,1995.95,2000.14,1983.2,1983.67,58865.8,0
1780380000000,1983.67,1987.75,1976.69,1981.51,59997.03,0
1780383600000,1981.51,1989.2,1972.72,1980.84,64051.15,0
1780387200000,1980.84,1988.33,1975.49,1978.56,39458.06,0
1780390800000,1978.56,1979.0,1965.54,1974.31,86498.13,0
1780394400000,1974.31,1983.16,1970.64,1982.39,40421.09,0
1780398000000,1982.39,1982.97,1974.42,1977.33,20515.99,0
1780401600000,1977.33,1982.15,1971.1,1975.38,40572.84,0
1780405200000,1975.38,1980.95,1969.24,1973.48,82832.95,0
1780408800000,1973.48,1974.36,1923.51,1940.53,340521.9,0
1780412400000,1940.53,1940.68,1886.18,1913.8,353856.84,0
1780416000000,1913.8,1943.57,1908.35,1919.67,170452.06,0
1780419600000,1919.67,1930.79,1918.47,1923.2,52253.93,0
1780423200000,1923.2,1927.46,1901.77,1912.2,56361.99,0
1780426800000,1912.2,1917.73,1880.0,1911.27,177558.59,0
1780430400000,1911.27,1917.91,1894.5,1905.76,74983.88,0
1780434000000,1905.76,1910.67,1896.04,1899.4,32881.59,0
1780437600000,1899.4,1908.82,1860.09,1867.44,212791.46,0
1780441200000,1867.44,1872.4,1837.2,1859.08,237695.83,0
1780444800000,1859.08,1873.38,1853.52,1866.25,92104.59,0
1780448400000,1866.25,1869.27,1848.62,1863.63,54859.81,0
1780452000000,1863.63,1864.0,1850.0,1853.29,36809.21,0
1780455600000,1853.29,1855.69,1815.58,1826.83,164959.79,0
1780459200000,1826.83,1851.93,1826.49,1849.94,87338.63,0
1780462800000,1849.94,1875.5,1848.83,1872.57,110401.79,0
1780466400000,1872.57,1885.05,1869.6,1871.15,89860.78,0
1780470000000,1871.15,1879.6,1867.05,1877.48,34518.75,0
1780473600000,1877.48,1882.73,1872.45,1879.12,31956.64,0
1780477200000,1879.12,1886.0,1869.0,1875.64,50760.02,0
1780480800000,1875.64,1892.07,1873.89,1883.92,41156.85,0
1780484400000,1883.92,1887.77,1875.06,1877.33,46465.13,0
1780488000000,1877.33,1879.73,1867.03,1875.78,53143.76,0
1780491600000,1875.78,1879.04,1860.37,1866.76,65568.89,0
1780495200000,1866.76,1867.84,1851.66,1857.85,62621.63,0
1780498800000,1857.85,1859.2,1835.16,1836.19,70837.66,0
1780502400000,1836.19,1843.28,1809.96,1831.76,213734.14,0
1780506000000,1831.76,1838.47,1817.08,1827.26,48491.14,0
1780509600000,1827.26,1833.84,1820.55,1831.48,30247.48,0
1780513200000,1831.48,1832.96,1793.75,1802.3,149130.07,0
1780516800000,1802.3,1812.52,1767.42,1780.43,162958.09,0
1780520400000,1780.43,1849.85,1776.44,1849.77,209059.1,0
1780524000000,1849.77,1852.0,1821.69,1828.66,108311.63,0
1780527600000,1828.66,1830.68,1811.53,1812.31,75092.3,0
1780531200000,1812.31,1819.98,1781.41,1793.0,140101.9,0
1780534800000,1793.0,1800.61,1753.94,1758.92,174087.03,0
1780538400000,1758.92,1777.99,1715.18,1766.1,320493.1,0
1780542000000,1766.1,1812.88,1765.65,1808.57,175879.48,0
1780545600000,1808.57,1817.4,1801.52,1804.66,78364.35,0
1780549200000,1804.66,1804.66,1778.5,1783.1,115773.93,0
1780552800000,1783.1,1800.77,1781.0,1789.05,53329.24,0
1780556400000,1789.05,1789.99,1772.39,1776.32,66283.88,0
1780560000000,1776.32,1782.44,1762.82,1772.47,73291.17,0
1780563600000,1772.47,1773.16,1743.45,1765.52,118914.49,0
1780567200000,1765.52,1766.44,1728.75,1736.01,169358.45,0
1780570800000,1736.01,1753.91,1731.53,1750.48,95521.27,0
1780574400000,1750.48,1781.76,1743.25,1777.35,116330.38,0
1780578000000,1777.35,1789.58,1754.63,1784.83,119315.96,0
1780581600000,1784.83,1794.5,1765.0,1773.55,73637.23,0
1780585200000,1773.55,1790.86,1769.49,1776.0,67533.16,0
1780588800000,1776.0,1780.65,1765.11,1771.28,45295.6,0
1780592400000,1771.28,1775.27,1752.76,1766.81,65247.78,0
1780596000000,1766.81,1783.16,1758.79,1775.34,72701.4,0
1780599600000,1775.34,1786.93,1770.09,1775.97,46532.84,0
1780603200000,1775.97,1776.47,1763.31,1773.8,54065.03,0
1780606800000,1773.8,1782.09,1755.46,1760.06,41997.23,0
1780610400000,1760.06,1769.54,1751.22,1767.54,52768.5,0
1780614000000,1767.54,1776.53,1756.04,1769.77,34709.99,0
1780617600000,1769.77,1774.04,1757.31,1758.37,27951.23,0
1780621200000,1758.37,1763.61,1745.03,1752.15,67911.6,0
1780624800000,1752.15,1753.79,1726.2,1729.11,94194.34,0
1780628400000,1729.11,1738.79,1720.62,1728.74,61033.11,0
1780632000000,1728.74,1745.38,1716.53,1743.71,88730.84,0
1780635600000,1743.71,1747.18,1679.6,1683.21,245463.27,0
1780639200000,1683.21,1688.9,1622.06,1655.46,415362.75,0
1780642800000,1655.46,1679.08,1632.26,1677.98,199025.09,0
1780646400000,1677.98,1678.75,1658.11,1662.85,98684.48,0
1780650000000,1662.85,1689.27,1661.67,1681.84,100400.81,0
1780653600000,1681.84,1684.36,1671.07,1675.8,49953.83,0
1780657200000,1675.8,1680.8,1661.75,1662.16,70885.9,0
1780660800000,1662.16,1671.0,1644.7,1655.92,127587.2,0
1780664400000,1655.92,1677.23,1612.0,1613.64,234802.9,0
1780668000000,1613.64,1623.45,1589.98,1599.81,327904.3,0
1780671600000,1599.81,1603.56,1570.82,1582.27,279788.34,0
1780675200000,1582.27,1611.72,1546.16,1607.76,473907.68,0
1780678800000,1607.76,1612.16,1586.72,1593.33,106558.66,0
1780682400000,1593.33,1597.88,1544.29,1551.97,246653.12,0
1780686000000,1551.97,1579.6,1538.32,1572.9,222973.73,0
1780689600000,1572.9,1607.8,1556.32,1602.85,173411.16,0
1780693200000,1602.85,1619.28,1601.47,1609.13,108980.3,0
1780696800000,1609.13,1609.72,1585.61,1596.64,198197.97,0
