ts_ms,open,high,low,close,volume,turnover
1655515800000,1083.3,1083.95,1071.45,1074.75,17067.41,18377226.8355
1655516700000,1074.75,1079.65,1074.2,1075.55,7322.97,7888113.5835
1655517600000,1075.55,1079.25,1070.8,1078.15,9303.1,10002728.324
1655518500000,1078.15,1080.9,1074.65,1076.35,5444.09,5864532.6345
1655519400000,1076.35,1076.7,1072.2,1074.4,6482.35,6964748.712
1655520300000,1074.4,1082.85,1073.3,1081.6,7487.49,8076424.5225
1655521200000,1081.6,1082.9,1076.4,1077.3,5459.47,5893893.396
1655522100000,1077.3,1078.95,1074.3,1077.25,3681.15,3964726.0735
1655523000000,1077.25,1080.5,1075.85,1077.3,5774.17,6224189.007
1655523900000,1077.3,1079.15,1074.95,1078.4,4822.43,5194058.578
1655524800000,1078.4,1079.85,1076.6,1078.7,3039.06,3277749.819
1655525700000,1078.7,1079.4,1074.0,1079.15,5832.48,6280497.731
1655526600000,1079.15,1080.1,1075.85,1079.05,5380.4,5803712.9875
1655527500000,1079.05,1080.2,1076.4,1080.15,3275.0,3532183.8665
1655528400000,1080.15,1082.7,1075.1,1076.45,8035.7,8670370.068
1655529300000,1076.45,1078.2,1075.0,1076.95,2980.42,3207245.952
1655530200000,1076.95,1077.85,1074.2,1075.8,14592.56,15688233.865
1655531100000,1075.8,1078.25,1074.7,1077.0,2609.03,2808718.641
1655532000000,1077.0,1078.65,1076.05,1078.5,2369.98,2553856.083
1655532900000,1078.5,1078.6,1074.05,1075.15,5151.6,5539636.305
1655533800000,1075.15,1076.9,1073.25,1075.05,3597.63,3867663.0735
1655534700000,1075.05,1076.0,993.0,1017.65,171992.47,176418942.8355
1655535600000,1017.65,1028.7,1009.25,1018.15,67722.8,68966073.067
1655536500000,1018.15,1018.25,982.9,999.7,112767.15,112727160.0975
1655537400000,999.7,1006.95,995.85,997.4,41842.49,41891557.4555
1655538300000,997.4,1012.3,996.15,1001.95,36063.06,36234935.1
1655539200000,1001.95,1003.65,992.3,995.75,31800.23,31743857.5175
