ts_ms,open,high,low,close,volume,turnover
1780257600000,1998.73,2002.75,1998.73,2000.68,8218.01,0
1780258500000,2000.68,2004.22,1999.86,2002.06,3130.96,0
1780259400000,2002.06,2003.0,2001.41,2002.5,2447.0,0
1780260300000,2002.5,2008.34,2002.46,2006.59,16187.48,0
1780261200000,2006.59,2006.95,2004.3,2005.76,6439.87,0
1780262100000,2005.76,2009.55,2005.76,2006.49,3811.14,0
1780263000000,2006.49,2009.48,2005.78,2008.44,2342.52,0
1780263900000,2008.44,2013.88,2008.43,2011.51,30541.24,0
1780264800000,2011.51,2013.63,2003.67,2011.0,8768.88,0
1780265700000,2011.0,2013.04,2006.43,2009.19,4996.72,0
1780266600000,2009.19,2013.53,2008.91,2010.59,4778.01,0
1780267500000,2010.59,2013.68,2010.59,2011.86,3678.28,0
1780268400000,2011.86,2022.36,2011.68,2013.14,18658.09,0
1780269300000,2013.14,2014.81,2007.53,2008.3,8428.93,0
1780270200000,2008.3,2008.6,1998.84,2002.16,15527.58,0
1780271100000,2002.16,2007.02,2002.01,2006.27,4264.31,0
1780272000000,2006.27,2015.61,2005.36,2010.85,21041.21,0
1780272900000,2010.85,2017.0,2007.47,2016.14,5857.04,0
1780273800000,2016.14,2020.93,2011.29,2015.04,9208.93,0
1780274700000,2015.04,2019.0,2013.8,2014.8,5008.66,0
1780275600000,2014.8,2016.07,2003.73,2004.3,11692.88,0
1780276500000,2004.3,2007.09,2001.2,2003.36,8418.88,0
1780277400000,2003.36,2006.13,1999.0,2000.86,6724.99,0
1780278300000,2000.86,2003.97,1992.89,1993.83,13371.82,0
1780279200000,1993.83,2005.1,1989.6,2004.31,20540.48,0
1780280100000,2004.31,2005.01,2001.31,2003.78,5282.09,0
1780281000000,2003.78,2016.86,2000.78,2011.57,17450.56,0
1780281900000,2011.57,2013.69,2009.31,2010.39,6352.92,0
1780282800000,2010.39,2017.4,2010.39,2012.64,8055.85,0
1780283700000,2012.64,2016.16,2010.13,2014.09,6256.06,0
1780284600000,2014.09,2016.2,2010.0,2011.65,4855.89,0
1780285500000,2011.65,2013.49,2007.58,2008.31,3333.82,0
1780286400000,2008.31,2011.24,2001.25,2002.15,8530.56,0
1780287300000,2002.15,2003.55,1994.17,1994.81,19826.0,0
1780288200000,1994.81,1999.53,1994.58,1999.06,10095.5,0
1780289100000,1999.06,2001.53,1993.0,1998.95,9226.75,0
1780290000000,1998.95,2000.6,1996.76,1999.13,3321.13,0
1780290900000,1999.13,2000.43,1992.05,1992.24,9245.83,0
1780291800000,1992.24,1995.82,1990.64,1995.51,7531.03,0
1780292700000,1995.51,1997.32,1992.87,1993.67,4661.47,0
1780293600000,1993.67,1994.44,1987.5,1991.05,11654.28,0
1780294500000,1991.05,1992.5,1983.45,1985.47,20303.07,0
1780295400000,1985.47,1987.96,1980.7,1981.18,17136.08,0
1780296300000,1981.18,1988.0,1979.14,1986.9,31653.17,0
1780297200000,1986.9,1989.64,1983.68,1988.11,7056.75,0
1780298100000,1988.11,1989.21,1984.22,1984.69,7611.55,0
1780299000000,1984.69,1984.98,1977.71,1982.1,15282.73,0
1780299900000,1982.1,1983.24,1970.47,1975.23,49652.43,0
1780300800000,1975.23,1978.89,1974.2,1977.35,10145.74,0
1780301700000,1977.35,1978.57,1972.56,1975.01,10118.23,0
1780302600000,1975.01,1981.73,1970.83,1978.29,24289.11,0
1780303500000,1978.29,1984.41,1977.8,1983.11,10716.1,0
1780304400000,1983.11,1986.2,1982.85,1984.92,9848.78,0
1780305300000,1984.92,1989.4,1984.4,1985.79,8408.74,0
1780306200000,1985.79,1988.05,1984.0,1986.99,9479.79,0
1780307100000,1986.99,1988.86,1985.19,1986.89,11077.56,0
1780308000000,1986.89,1988.2,1983.54,1984.07,8723.31,0
1780308900000,1984.07,1985.58,1980.61,1982.64,6535.23,0
1780309800000,1982.64,1986.29,1980.07,1984.37,7154.4,0
1780310700000,1984.37,1986.18,1982.85,1983.69,3869.26,0
1780311600000,1983.69,1984.96,1982.0,1983.2,3036.92,0
1780312500000,1983.2,1985.31,1982.5,1982.91,2457.19,0
1780313400000,1982.91,1985.5,1980.61,1984.95,8849.35,0
1780314300000,1984.95,1986.3,1976.43,1980.7,27176.12,0
1780315200000,1980.7,1984.1,1966.16,1975.95,63210.26,0
1780316100000,1975.95,1988.6,1975.29,1986.55,33133.58,0
1780317000000,1986.55,1992.93,1983.7,1992.33,21624.59,0
1780317900000,1992.33,1994.0,1986.4,1988.73,10972.94,0
1780318800000,1988.73,1989.65,1970.0,1974.92,53443.05,0
1780319700000,1974.92,1980.93,1971.72,1976.28,21847.47,0
1780320600000,1976.28,1982.9,1972.26,1974.0,28744.34,0
1780321500000,1974.0,1980.26,1955.03,1970.23,109353.38,0
1780322400000,1970.23,1976.82,1963.7,1968.38,34226.77,0
1780323300000,1968.38,1971.61,1965.4,1967.88,19561.46,0
1780324200000,1967.88,1969.99,1964.07,1967.05,14421.96,0
1780325100000,1967.05,1970.95,1964.25,1967.84,9678.8,0
1780326000000,1967.84,1974.0,1967.49,1969.39,12687.43,0
1780326900000,1969.39,1969.9,1959.28,1960.68,21491.75,0
1780327800000,1960.68,1980.25,1960.43,1973.56,38380.45,0
1780328700000,1973.56,1974.77,1966.0,1967.54,7999.81,0
1780329600000,1967.54,1971.12,1957.66,1966.3,24283.81,0
1780330500000,1966.3,1970.53,1963.4,1970.52,12295.05,0
1780331400000,1970.52,1973.49,1968.82,1971.25,14445.51,0
1780332300000,1971.25,1978.19,1971.25,1977.4,13323.02,0
1780333200000,1977.4,1984.65,1976.91,1983.04,20632.61,0
1780334100000,1983.04,1991.78,1981.0,1990.57,22719.09,0
1780335000000,1990.57,1994.0,1985.36,1992.84,35894.93,0
1780335900000,1992.84,1996.46,1989.09,1989.83,20164.65,0
1780336800000,1989.83,1991.54,1982.38,1984.4,8923.55,0
1780337700000,1984.4,1992.0,1982.82,1991.64,6736.76,0
1780338600000,1991.64,1994.81,1990.38,1991.85,6720.06,0
1780339500000,1991.85,1995.06,1990.27,1991.85,4694.64,0
1780340400000,1991.85,1994.71,1991.1,1994.04,4261.98,0
1780341300000,1994.04,2002.54,1991.37,2001.71,11082.35,0
1780342200000,2001.71,2008.32,2000.7,2005.55,31741.5,0
1780343100000,2005.55,2006.01,2002.33,2003.79,11402.08,0
1780344000000,2003.79,2004.3,2000.23,2002.0,7572.2,0
1780344900000,2002.0,2006.42,2000.1,2004.33,6701.83,0
1780345800000,2004.33,2007.75,2003.43,2006.63,5330.63,0
1780346700000,2006.63,2007.14,2002.71,2004.99,4431.41,0
1780347600000,2004.99,2008.67,1993.75,1998.68,27740.01,0
1780348500000,1998.68,1999.53,1991.78,1994.55,8717.52,0
1780349400000,1994.55,1995.0,1991.33,1992.31,4961.3,0
1780350300000,1992.31,1998.61,1991.9,1993.48,11901.66,0
1780351200000,1993.48,1993.55,1982.73,1989.42,24964.06,0
1780352100000,1989.42,2002.42,1988.48,1999.0,24069.63,0
1780353000000,1999.0,2000.64,1991.36,1995.0,6066.16,0
1780353900000,1995.0,2005.6,1995.0,2003.71,12736.27,0
1780354800000,2003.71,2005.81,2000.48,2001.9,7006.31,0
1780355700000,2001.9,2007.5,1997.62,1998.08,8888.61,0
1780356600000,1998.08,2008.05,1997.27,2004.37,8405.74,0
1780357500000,2004.37,2007.21,2002.8,2005.92,4478.0,0
1780358400000,2005.92,2006.39,2002.45,2003.18,6112.42,0
1780359300000,2003.18,2004.78,1997.3,2000.18,5724.49,0
1780360200000,2000.18,2001.78,1994.56,1997.35,5003.9,0
1780361100000,1997.35,1999.53,1995.32,1995.73,3432.43,0
1780362000000,1995.73,1998.07,1991.51,1998.05,7189.68,0
1780362900000,1998.05,1998.58,1990.38,1991.28,9410.99,0
1780363800000,1991.28,1992.76,1981.38,1985.61,20211.72,0
1780364700000,1985.61,1985.67,1978.28,1979.35,15082.45,0
1780365600000,1979.35,1980.59,1961.0,1971.71,46908.95,0
1780366500000,1971.71,1989.32,1967.3,1987.8,29590.98,0
1780367400000,1987.8,1993.82,1983.74,1984.42,20025.16,0
1780368300000,1984.42,1996.3,1983.54,1996.05,10311.32,0
1780369200000,1996.05,2001.82,1993.92,1997.9,13694.69,0
1780370100000,1997.9,2001.29,1995.02,2000.06,9454.48,0
1780371000000,2000.06,2004.21,1998.1,2003.33,5959.2,0
1780371900000,2003.33,2004.11,2001.01,2003.1,4862.21,0
1780372800000,2003.1,2005.17,1995.61,1997.35,25845.16,0
1780373700000,1997.35,2005.71,1997.3,2003.65,6694.48,0
1780374600000,2003.65,2004.69,2000.01,2001.13,5794.49,0
1780375500000,2001.13,2001.13,1994.83,1995.95,5877.99,0
1780376400000,1995.95,2000.14,1988.89,1999.03,10451.82,0
1780377300000,1999.03,1999.41,1990.43,1990.95,5553.43,0
1780378200000,1990.95,1994.7,1986.3,1990.77,18215.48,0
1780379100000,1990.77,1991.09,1983.2,1983.67,24645.07,0
1780380000000,1983.67,1987.53,1979.13,1981.01,16959.96,0
1780380900000,1981.01,1984.41,1978.13,1983.81,9233.78,0
1780381800000,1983.81,1987.75,1983.14,1983.24,11318.66,0
1780382700000,1983.24,1986.6,1976.69,1981.51,22484.63,0
1780383600000,1981.51,1983.0,1972.72,1980.51,30959.14,0
1780384500000,1980.51,1989.2,1975.7,1977.76,15138.95,0
1780385400000,1977.76,1988.25,1977.25,1985.31,12264.47,0
1780386300000,1985.31,1985.32,1980.57,1980.84,5688.59,0
1780387200000,1980.84,1984.2,1977.9,1982.99,8807.7,0
1780388100000,1982.99,1988.33,1979.0,1984.92,13442.13,0
1780389000000,1984.92,1988.1,1979.65,1979.92,5313.52,0
1780389900000,1979.92,1982.0,1975.49,1978.56,11894.71,0
1780390800000,1978.56,1979.0,1969.68,1971.64,25610.08,0
1780391700000,1971.64,1972.29,1965.54,1968.17,28495.3,0
1780392600000,1968.17,1975.31,1966.7,1971.56,21593.83,0
1780393500000,1971.56,1975.87,1968.87,1974.31,10798.92,0
1780394400000,1974.31,1979.22,1970.64,1977.0,14876.65,0
1780395300000,1977.0,1979.49,1974.88,1978.61,12393.61,0
1780396200000,1978.61,1979.7,1974.35,1974.86,6612.44,0
1780397100000,1974.86,1983.16,1974.8,1982.39,6538.39,0
1780398000000,1982.39,1982.97,1978.14,1980.21,5637.55,0
1780398900000,1980.21,1980.29,1975.93,1976.79,4799.71,0
1780399800000,1976.79,1979.24,1974.42,1977.49,6901.53,0
1780400700000,1977.49,1981.12,1977.0,1977.33,3177.2,0
1780401600000,1977.33,1981.03,1974.42,1976.99,8756.68,0
1780402500000,1976.99,1982.15,1974.59,1979.28,7116.55,0
1780403400000,1979.28,1979.44,1971.1,1978.39,16598.47,0
1780404300000,1978.39,1979.24,1974.26,1975.38,8101.14,0
1780405200000,1975.38,1979.12,1972.04,1972.38,13410.31,0
1780406100000,1972.38,1980.4,1972.38,1978.82,10082.35,0
1780407000000,1978.82,1980.95,1969.24,1975.79,28591.21,0
1780407900000,1975.79,1978.72,1971.0,1973.48,30749.08,0
1780408800000,1973.48,1974.36,1958.4,1967.21,49823.39,0
1780409700000,1967.21,1967.63,1923.51,1935.58,198413.06,0
1780410600000,1935.58,1946.7,1930.82,1935.37,68723.77,0
1780411500000,1935.37,1944.77,1935.01,1940.53,23561.68,0
1780412400000,1940.53,1940.68,1930.61,1933.72,36101.22,0
1780413300000,1933.72,1933.99,1906.0,1911.6,123589.26,0
1780414200000,1911.6,1911.89,1886.18,1907.86,158622.51,0
1780415100000,1907.86,1918.09,1904.53,1913.8,35543.85,0
1780416000000,1913.8,1933.34,1908.35,1932.42,64068.87,0
1780416900000,1932.42,1943.57,1926.49,1930.15,52468.92,0
1780417800000,1930.15,1931.23,1921.34,1924.01,36479.62,0
1780418700000,1924.01,1929.2,1919.01,1919.67,17434.65,0
1780419600000,1919.67,1926.74,1918.47,1924.27,20851.07,0
1780420500000,1924.27,1930.79,1921.92,1927.04,12476.63,0
1780421400000,1927.04,1930.37,1921.69,1922.83,10143.71,0
1780422300000,1922.83,1923.94,1919.74,1923.2,8782.52,0
1780423200000,1923.2,1927.46,1921.43,1921.73,6538.55,0
1780424100000,1921.73,1922.87,1911.05,1912.71,12658.43,0
1780425000000,1912.71,1914.51,1908.41,1911.2,12735.27,0
1780425900000,1911.2,1912.9,1901.77,1912.2,24429.74,0
1780426800000,1912.2,1915.75,1909.45,1914.15,10596.38,0
1780427700000,1914.15,1914.57,1902.04,1903.2,18284.0,0
1780428600000,1903.2,1904.65,1880.0,1901.73,105805.49,0
1780429500000,1901.73,1917.73,1899.04,1911.27,42872.72,0
1780430400000,1911.27,1917.91,1905.94,1913.62,15058.71,0
1780431300000,1913.62,1913.94,1894.5,1895.46,21004.31,0
1780432200000,1895.46,1904.68,1894.96,1900.08,22625.37,0
1780433100000,1900.08,1910.45,1899.0,1905.76,16295.49,0
1780434000000,1905.76,1910.67,1899.1,1901.05,9253.77,0
1780434900000,1901.05,1910.18,1900.67,1908.91,7331.9,0
1780435800000,1908.91,1909.78,1903.11,1904.16,5708.22,0
1780436700000,1904.16,1904.81,1896.04,1899.4,10587.7,0
1780437600000,1899.4,1899.4,1887.27,1888.15,23023.36,0
1780438500000,1888.15,1908.82,1873.0,1900.04,78035.26,0
1780439400000,1900.04,1900.88,1887.0,1891.28,23544.23,0
1780440300000,1891.28,1891.28,1860.09,1867.44,88188.61,0
