ts_ms,open,high,low,close,volume,turnover
1655515800000,20491,20497,20371,20390.5,2050.618,41850937.071
1655516700000,20390.5,20483.5,20390,20390.5,1709.098,34925264.172
1655517600000,20390.5,20506,20300,20491.5,2862.542,58361692.322
1655518500000,20491.5,20522,20444.5,20474.5,1015.082,20791259.077
1655519400000,20474.5,20474.5,20370.5,20378,1245.713,25433503.408
1655520300000,20378,20473,20360.5,20470,832.415,17001296.5815
1655521200000,20470,20495.5,20405.5,20407.5,838.801,17152411.779
1655522100000,20407.5,20455,20375.5,20420.5,983.691,20086897.1225
1655523000000,20420.5,20445,20391.5,20410,527.241,10762675.052
1655523900000,20410,20461,20378,20453,842.434,17196970.0685
1655524800000,20453,20476,20427.5,20434,478.423,9782470.5465
1655525700000,20434,20460,20388.5,20442,492.509,10058649.25
1655526600000,20442,20480.5,20411,20464.5,541.844,11081184.515
1655527500000,20464.5,20490,20434.5,20485,486.318,9953165.485
1655528400000,20485,20532.5,20410.5,20434.5,1168.732,23926792.0675
1655529300000,20434.5,20454.5,20407.5,20426.5,474.276,9688347.5335
1655530200000,20426.5,20436,20406,20420,424.577,8668167.5
1655531100000,20420,20439,20389.5,20416,429.109,8756882.44
1655532000000,20416,20446,20400,20443.5,430.487,8789967.3895
1655532900000,20443.5,20443.5,20382.5,20390.5,808.468,16490569.4185
1655533800000,20390.5,20415,20373.5,20389,676.103,13784752.4435
1655534700000,20389,20397.5,18988,19422.5,36505.906,714238677.4415
1655535600000,19422.5,19608,19233.5,19484,11446.808,222177819.2845
1655536500000,19484,19488,18988,19227.5,12622.763,242737516.424
1655537400000,19227.5,19309.5,19093.5,19160.5,3986.908,76527187.168
1655538300000,19160.5,19400,19140,19241.5,4679.979,90214877.395
1655539200000,19241.5,19261,19069,19132,3628.828,69557299.233
1655540100000,19132,19191.5,18675,19122,19385.22,366771997.1695
1655541000000,19122,19372,19029.5,19132,7560.173,145070665.653
1655541900000,19132,19214,18927,19000.5,4331.963,82499153.023
1655542800000,19000.5,19037.5,18883,19000,3649.267,69226021.402
1655543700000,19000,19200,18990,19177.5,3371.437,64380948.8475
1655544600000,19177.5,19193.5,19010,19031.5,2211.888,42225973.1645
1655545500000,19031.5,19170,19030,19156,1656.399,31654275.6485
1655546400000,19156,19293,19131,19207.5,3271.904,62867376.295
1655547300000,19207.5,19548,19195,19433,7725.184,149795389.1425
1655548200000,19433,19500,19343.5,19358.5,2435.087,47243826.2985
1655549100000,19358.5,19428,19320,19381.5,1766.83,34201998.0935
1655550000000,19381.5,19395,19220,19297,2534.746,48877207.8385
1655550900000,19297,19466,19284.5,19425,2217.043,42963642.2025
1655551800000,19425,19425,19343,19387,1307.676,25355759.2325
1655552700000,19387,19406.5,19227,19232,2605.759,50259744.039
1655553600000,19232,19270.5,19136,19201,2374.576,45608568.193
1655554500000,19201,19263.5,19120.5,19235.5,1908.011,36626217.822
1655555400000,19235.5,19281.5,19136.5,19165,1722.673,33103066.499
1655556300000,19165,19199.5,19104,19137,1265.699,24237895.559
1655557200000,19137,19190,19075,19181.5,1723.472,32967479.484
1655558100000,19181.5,19222,19116.5,19168.5,1489.466,28571146.2065
1655559000000,19168.5,19189.5,19090.5,19104.5,1216.024,23258510.397
1655559900000,19104.5,19206,19103.5,19190.5,1140.244,21844569.564
1655560800000,19190.5,19260,19172.5,19193.5,1703.331,32731909.3875
1655561700000,19193.5,19219.5,19140,19179.5,960.671,18422515.513
1655562600000,19179.5,19224.5,19161,19175.5,846.129,16237918.093
